n,name
http://www.wikidata.org/entity/Q253589,Oktawia
http://www.wikidata.org/entity/Q461718,Amelia
http://www.wikidata.org/entity/Q474047,Shulammite
http://www.wikidata.org/entity/Q253493,Raffaella
http://www.wikidata.org/entity/Q43878,Enikő
http://www.wikidata.org/entity/Q25611,Gyöngyi
http://www.wikidata.org/entity/Q20020,Veronica
http://www.wikidata.org/entity/Q1567476,Hadia
http://www.wikidata.org/entity/Q1562327,Güzel
http://www.wikidata.org/entity/Q255209,Mercedes
http://www.wikidata.org/entity/Q254254,Élodie
http://www.wikidata.org/entity/Q603701,Sára
http://www.wikidata.org/entity/Q256744,Kirsten
http://www.wikidata.org/entity/Q1566153,Marit
http://www.wikidata.org/entity/Q481635,Abélia
http://www.wikidata.org/entity/Q1563889,Aleferna
http://www.wikidata.org/entity/Q113240,Irmela
http://www.wikidata.org/entity/Q1565914,Rima
http://www.wikidata.org/entity/Q481809,Amy
http://www.wikidata.org/entity/Q602977,Simone
http://www.wikidata.org/entity/Q471514,Aminata
http://www.wikidata.org/entity/Q264002,Charlotte
http://www.wikidata.org/entity/Q262891,Vjenceslava
http://www.wikidata.org/entity/Q1565101,Jěwa
http://www.wikidata.org/entity/Q108631,Katherine
http://www.wikidata.org/entity/Q20187,Ol'ga
http://www.wikidata.org/entity/Q477534,Dilara
http://www.wikidata.org/entity/Q477560,Amrei
http://www.wikidata.org/entity/Q607350,Virginia
http://www.wikidata.org/entity/Q606907,Anitra
http://www.wikidata.org/entity/Q605103,Amadea
http://www.wikidata.org/entity/Q6774,Samantha
http://www.wikidata.org/entity/Q1567480,Hadiatou
http://www.wikidata.org/entity/Q474402,Amparo
http://www.wikidata.org/entity/Q476059,Roswitha
http://www.wikidata.org/entity/Q479129,Aba
http://www.wikidata.org/entity/Q484236,Anahí
http://www.wikidata.org/entity/Q262119,Pamela
http://www.wikidata.org/entity/Q259792,Yeliz
http://www.wikidata.org/entity/Q256685,Vinayaki
http://www.wikidata.org/entity/Q612706,Cyryla
http://www.wikidata.org/entity/Q612807,Maksyma
http://www.wikidata.org/entity/Q477529,Milla
http://www.wikidata.org/entity/Q615694,Aoife
http://www.wikidata.org/entity/Q617272,Josefa
http://www.wikidata.org/entity/Q80347,Hiltrud
http://www.wikidata.org/entity/Q610489,Florentina
http://www.wikidata.org/entity/Q272859,Çiğdem
http://www.wikidata.org/entity/Q277783,Thora
http://www.wikidata.org/entity/Q1574198,Hanako
http://www.wikidata.org/entity/Q1573845,Tryphaina
http://www.wikidata.org/entity/Q1574589,Tamika
http://www.wikidata.org/entity/Q257176,Benigna
http://www.wikidata.org/entity/Q608738,Ava
http://www.wikidata.org/entity/Q127733,Giulia
http://www.wikidata.org/entity/Q271245,Åse
http://www.wikidata.org/entity/Q128673,Gyöngyvér
http://www.wikidata.org/entity/Q128373,Jovita
http://www.wikidata.org/entity/Q621435,Aletta
http://www.wikidata.org/entity/Q1570086,Marlies
http://www.wikidata.org/entity/Q619325,Apollonia
http://www.wikidata.org/entity/Q617751,Aparna
http://www.wikidata.org/entity/Q482671,Ana
http://www.wikidata.org/entity/Q615620,Raisa
http://www.wikidata.org/entity/Q484175,Silke
http://www.wikidata.org/entity/Q491379,Lieke
http://www.wikidata.org/entity/Q1574747,Sabrina
http://www.wikidata.org/entity/Q621915,April
http://www.wikidata.org/entity/Q1568006,Inga
http://www.wikidata.org/entity/Q269339,Fruzsina
http://www.wikidata.org/entity/Q123699,Galina
http://www.wikidata.org/entity/Q1588186,Lisa
http://www.wikidata.org/entity/Q143995,Sonya
http://www.wikidata.org/entity/Q278881,Naoko
http://www.wikidata.org/entity/Q492624,Maike
http://www.wikidata.org/entity/Q622583,Alfonzin
http://www.wikidata.org/entity/Q1586600,Georgina
http://www.wikidata.org/entity/Q153957,Barbara
http://www.wikidata.org/entity/Q493639,Meryl
http://www.wikidata.org/entity/Q141520,Liane
http://www.wikidata.org/entity/Q140502,Zahar
http://www.wikidata.org/entity/Q1587821,Marguerite
http://www.wikidata.org/entity/Q488363,Vibeke
http://www.wikidata.org/entity/Q497612,Paulette
http://www.wikidata.org/entity/Q503594,Adelinda
http://www.wikidata.org/entity/Q1576232,Märta
http://www.wikidata.org/entity/Q278742,Danuta
http://www.wikidata.org/entity/Q1575808,Hanne
http://www.wikidata.org/entity/Q1574910,Laurie
http://www.wikidata.org/entity/Q1589022,Hattie
http://www.wikidata.org/entity/Q280291,Balbina
http://www.wikidata.org/entity/Q495579,Rochelle
http://www.wikidata.org/entity/Q495538,Sietske
http://www.wikidata.org/entity/Q290587,Eulalia
http://www.wikidata.org/entity/Q167755,Astrid
http://www.wikidata.org/entity/Q1588917,Hatice
http://www.wikidata.org/entity/Q280570,Synke
http://www.wikidata.org/entity/Q283277,Mandy
http://www.wikidata.org/entity/Q300804,Aagje
http://www.wikidata.org/entity/Q300907,Aaliyah
http://www.wikidata.org/entity/Q1594087,Heidemarie
http://www.wikidata.org/entity/Q142857,Soraya
http://www.wikidata.org/entity/Q160626,Lubina
http://www.wikidata.org/entity/Q163495,Þóra
http://www.wikidata.org/entity/Q168233,Zoe
http://www.wikidata.org/entity/Q630846,Jessica
http://www.wikidata.org/entity/Q626780,Araxi
http://www.wikidata.org/entity/Q1593262,Hedi
http://www.wikidata.org/entity/Q1593204,Hede
http://www.wikidata.org/entity/Q1592143,Hańža
http://www.wikidata.org/entity/Q632264,Olivia
http://www.wikidata.org/entity/Q507318,Melizanda
http://www.wikidata.org/entity/Q503607,Rebecca
http://www.wikidata.org/entity/Q307915,Özlem
http://www.wikidata.org/entity/Q307789,Özge
http://www.wikidata.org/entity/Q1602616,Hella
http://www.wikidata.org/entity/Q291930,Prassede
http://www.wikidata.org/entity/Q164555,Bożena
http://www.wikidata.org/entity/Q505008,Adolfa
http://www.wikidata.org/entity/Q503785,Adeodata
http://www.wikidata.org/entity/Q632389,Oliva
http://www.wikidata.org/entity/Q634916,Sigrid
http://www.wikidata.org/entity/Q1602461,Heliane
http://www.wikidata.org/entity/Q505908,Debora
http://www.wikidata.org/entity/Q509729,Gertrude
http://www.wikidata.org/entity/Q173877,Gaëlle
http://www.wikidata.org/entity/Q203150,Rino
http://www.wikidata.org/entity/Q168434,Romy
http://www.wikidata.org/entity/Q168911,Zdena
http://www.wikidata.org/entity/Q636461,Kendra
http://www.wikidata.org/entity/Q512153,Zsófia
http://www.wikidata.org/entity/Q324528,Aslaug
http://www.wikidata.org/entity/Q1604479,Walli
http://www.wikidata.org/entity/Q1607500,Leila
http://www.wikidata.org/entity/Q632390,Marsha
http://www.wikidata.org/entity/Q644599,Ida
http://www.wikidata.org/entity/Q643838,Delfina
http://www.wikidata.org/entity/Q638777,Fatime
http://www.wikidata.org/entity/Q1611595,Tara
http://www.wikidata.org/entity/Q511390,Anya
http://www.wikidata.org/entity/Q181346,Walburga
http://www.wikidata.org/entity/Q191379,Zephyrine
http://www.wikidata.org/entity/Q196769,Zeruja
http://www.wikidata.org/entity/Q181377,Edda
http://www.wikidata.org/entity/Q301657,Viola
http://www.wikidata.org/entity/Q303407,Aase
http://www.wikidata.org/entity/Q324532,Vigdís
http://www.wikidata.org/entity/Q512920,Edina
http://www.wikidata.org/entity/Q512586,Csilla
http://www.wikidata.org/entity/Q182861,Lila
http://www.wikidata.org/entity/Q1609557,Toshiko
http://www.wikidata.org/entity/Q1608693,Sinja
http://www.wikidata.org/entity/Q207106,Zlata
http://www.wikidata.org/entity/Q324514,Ásdís
http://www.wikidata.org/entity/Q324544,Hjördis
http://www.wikidata.org/entity/Q335937,Adelinde
http://www.wikidata.org/entity/Q632416,Archana
http://www.wikidata.org/entity/Q324511,Valdís
http://www.wikidata.org/entity/Q524537,Kimberly
http://www.wikidata.org/entity/Q523677,Tertulia
http://www.wikidata.org/entity/Q645412,Diana
http://www.wikidata.org/entity/Q646312,Evi
http://www.wikidata.org/entity/Q510613,Italia
http://www.wikidata.org/entity/Q206111,Scota
http://www.wikidata.org/entity/Q206748,Ziva
http://www.wikidata.org/entity/Q221332,Bernarda
http://www.wikidata.org/entity/Q1616308,Hetty
http://www.wikidata.org/entity/Q187309,Ethel
http://www.wikidata.org/entity/Q517366,Nobuko
http://www.wikidata.org/entity/Q517046,Aglaja
http://www.wikidata.org/entity/Q521264,Brynhild
http://www.wikidata.org/entity/Q646616,Jarmila
http://www.wikidata.org/entity/Q650324,Alina
http://www.wikidata.org/entity/Q649921,Alida
http://www.wikidata.org/entity/Q1613230,Nessa
http://www.wikidata.org/entity/Q348680,Irmgard
http://www.wikidata.org/entity/Q533686,Angèle
http://www.wikidata.org/entity/Q221215,Teodora
http://www.wikidata.org/entity/Q529452,Anett
http://www.wikidata.org/entity/Q336878,Jo
http://www.wikidata.org/entity/Q337257,Saskia
http://www.wikidata.org/entity/Q220739,Sylwestra
http://www.wikidata.org/entity/Q221396,Agatha
http://www.wikidata.org/entity/Q533466,Ilse
http://www.wikidata.org/entity/Q222278,Telma
http://www.wikidata.org/entity/Q221839,Fatima
http://www.wikidata.org/entity/Q221815,Leonóra
http://www.wikidata.org/entity/Q647872,Irma
http://www.wikidata.org/entity/Q647372,Krescencja
http://www.wikidata.org/entity/Q338015,Beata
http://www.wikidata.org/entity/Q654581,Lena
http://www.wikidata.org/entity/Q651493,Demetria
http://www.wikidata.org/entity/Q1613629,Ruxandra
http://www.wikidata.org/entity/Q1618068,Hila
http://www.wikidata.org/entity/Q1621145,Hitlerike
http://www.wikidata.org/entity/Q222053,Doreen
http://www.wikidata.org/entity/Q325872,Maria
http://www.wikidata.org/entity/Q529410,Anete
http://www.wikidata.org/entity/Q537941,Ramóna
http://www.wikidata.org/entity/Q1617357,Lucie
http://www.wikidata.org/entity/Q225940,Tünde
http://www.wikidata.org/entity/Q222327,Gretha
http://www.wikidata.org/entity/Q1633534,Hubertine
http://www.wikidata.org/entity/Q351311,Juliane
http://www.wikidata.org/entity/Q346047,Ada
http://www.wikidata.org/entity/Q339930,Nanako
http://www.wikidata.org/entity/Q344002,İrem
http://www.wikidata.org/entity/Q539223,Angie
http://www.wikidata.org/entity/Q228101,Hermiona
http://www.wikidata.org/entity/Q227195,Zsa Zsa
http://www.wikidata.org/entity/Q1631199,Mieze
http://www.wikidata.org/entity/Q1633400,Marita
http://www.wikidata.org/entity/Q1633889,Mariama
http://www.wikidata.org/entity/Q541194,Emma
http://www.wikidata.org/entity/Q1625970,Maggie
http://www.wikidata.org/entity/Q538048,Pirkko
http://www.wikidata.org/entity/Q229227,Carola
http://www.wikidata.org/entity/Q654850,Ariana
http://www.wikidata.org/entity/Q1640276,Rosa
http://www.wikidata.org/entity/Q362403,Carina
http://www.wikidata.org/entity/Q228162,Gina
http://www.wikidata.org/entity/Q542211,Ornella
http://www.wikidata.org/entity/Q250267,Nora
http://www.wikidata.org/entity/Q248718,Midori
http://www.wikidata.org/entity/Q650689,Alice
http://www.wikidata.org/entity/Q1642324,Vida
http://www.wikidata.org/entity/Q1641745,Käte
http://www.wikidata.org/entity/Q355279,Scolastica
http://www.wikidata.org/entity/Q355848,Janina
http://www.wikidata.org/entity/Q241356,Nadezhda
http://www.wikidata.org/entity/Q1642374,Lana
http://www.wikidata.org/entity/Q1644235,Sayali
http://www.wikidata.org/entity/Q655722,Ina
http://www.wikidata.org/entity/Q541364,Norma
http://www.wikidata.org/entity/Q659041,Aloisia
http://www.wikidata.org/entity/Q1645589,Jenette
http://www.wikidata.org/entity/Q1648759,Rotraut
http://www.wikidata.org/entity/Q656698,Regina
http://www.wikidata.org/entity/Q241290,Vilja
http://www.wikidata.org/entity/Q3962648,Skye
http://www.wikidata.org/entity/Q3964261,Sole
http://www.wikidata.org/entity/Q357313,Adina
http://www.wikidata.org/entity/Q357589,Aditi
http://www.wikidata.org/entity/Q656870,Alma
http://www.wikidata.org/entity/Q354633,Adelaide
http://www.wikidata.org/entity/Q548774,Anisa
http://www.wikidata.org/entity/Q548056,Jusztina
http://www.wikidata.org/entity/Q549202,Anissa
http://www.wikidata.org/entity/Q546126,Griselda
http://www.wikidata.org/entity/Q357255,Adile
http://www.wikidata.org/entity/Q1653948,Marisa
http://www.wikidata.org/entity/Q253010,Katia
http://www.wikidata.org/entity/Q564327,Annalena
http://www.wikidata.org/entity/Q3966508,Speranza
http://www.wikidata.org/entity/Q3968098,Stamura
http://www.wikidata.org/entity/Q3964320,Solidea
http://www.wikidata.org/entity/Q553109,Aina
http://www.wikidata.org/entity/Q551557,Anjuli
http://www.wikidata.org/entity/Q363820,Delia
http://www.wikidata.org/entity/Q372399,Boglárka
http://www.wikidata.org/entity/Q1655699,Yara
http://www.wikidata.org/entity/Q1655445,Serap
http://www.wikidata.org/entity/Q354370,Adele
http://www.wikidata.org/entity/Q3980512,Tallulah
http://www.wikidata.org/entity/Q250622,Álfrún
http://www.wikidata.org/entity/Q3973295,Sterpeta
http://www.wikidata.org/entity/Q3978510,Sveva
http://www.wikidata.org/entity/Q543740,Apolinaria
http://www.wikidata.org/entity/Q656590,Ingeborg
http://www.wikidata.org/entity/Q364960,Adolfine
http://www.wikidata.org/entity/Q663072,Rut
http://www.wikidata.org/entity/Q554888,Ajándék
http://www.wikidata.org/entity/Q558067,Ann
http://www.wikidata.org/entity/Q1659872,Imke
http://www.wikidata.org/entity/Q3995857,Tosca
http://www.wikidata.org/entity/Q3991321,Tilde
http://www.wikidata.org/entity/Q3999604,Trofimena
http://www.wikidata.org/entity/Q4000175,Tuda
http://www.wikidata.org/entity/Q3980873,Tanith
http://www.wikidata.org/entity/Q3980620,Tamiko
http://www.wikidata.org/entity/Q665407,Jana
http://www.wikidata.org/entity/Q564025,Annabel
http://www.wikidata.org/entity/Q1652291,Hülya
http://www.wikidata.org/entity/Q659189,Vera
http://www.wikidata.org/entity/Q659757,Dragana
http://www.wikidata.org/entity/Q373803,Thalia
http://www.wikidata.org/entity/Q378694,Georgia
http://www.wikidata.org/entity/Q377369,Adrienne
http://www.wikidata.org/entity/Q1663436,Ingrida
http://www.wikidata.org/entity/Q662373,Fiona
http://www.wikidata.org/entity/Q374807,Adriana
http://www.wikidata.org/entity/Q563325,Anna Sophia
http://www.wikidata.org/entity/Q566045,Anneke
http://www.wikidata.org/entity/Q657732,Almira
http://www.wikidata.org/entity/Q666578,Anna
http://www.wikidata.org/entity/Q4009527,Veneranda
http://www.wikidata.org/entity/Q4009557,Venere
http://www.wikidata.org/entity/Q4009861,Verbena
http://www.wikidata.org/entity/Q564393,Annalisa
http://www.wikidata.org/entity/Q661572,Arina
http://www.wikidata.org/entity/Q1666203,Maren
http://www.wikidata.org/entity/Q1664351,Insa
http://www.wikidata.org/entity/Q1663671,Inken
http://www.wikidata.org/entity/Q566243,Anna Maria
http://www.wikidata.org/entity/Q1666942,Mitsuko
http://www.wikidata.org/entity/Q1668228,Philine
http://www.wikidata.org/entity/Q666954,Josephine
http://www.wikidata.org/entity/Q4001206,Tyra
http://www.wikidata.org/entity/Q375542,Nerissa
http://www.wikidata.org/entity/Q381351,Hannelore
http://www.wikidata.org/entity/Q684595,Alvina
http://www.wikidata.org/entity/Q686299,Bertolda
http://www.wikidata.org/entity/Q671381,Arjeta
http://www.wikidata.org/entity/Q673677,Giuseppina
http://www.wikidata.org/entity/Q382158,Afet
http://www.wikidata.org/entity/Q566000,Annegret
http://www.wikidata.org/entity/Q564776,Anne-Kathrin
http://www.wikidata.org/entity/Q379029,Salome
http://www.wikidata.org/entity/Q679755,Constance
http://www.wikidata.org/entity/Q566093,Annelie
http://www.wikidata.org/entity/Q378867,Iris
http://www.wikidata.org/entity/Q4013800,Violante
http://www.wikidata.org/entity/Q4018995,Wendy
http://www.wikidata.org/entity/Q4014563,Virna
http://www.wikidata.org/entity/Q1670074,Tina
http://www.wikidata.org/entity/Q1668395,Smilla
http://www.wikidata.org/entity/Q687536,Alberta
http://www.wikidata.org/entity/Q687531,Amarilla
http://www.wikidata.org/entity/Q383552,Aafje
http://www.wikidata.org/entity/Q4023881,Zaria
http://www.wikidata.org/entity/Q4024972,Zuleika
http://www.wikidata.org/entity/Q566390,Annemie
http://www.wikidata.org/entity/Q385468,Elizabeth
http://www.wikidata.org/entity/Q4020230,Willow
http://www.wikidata.org/entity/Q391321,Jacqueline
http://www.wikidata.org/entity/Q566477,Annett
http://www.wikidata.org/entity/Q1673670,Isadora
http://www.wikidata.org/entity/Q4026211,Zaira
http://www.wikidata.org/entity/Q384753,Mohini
http://www.wikidata.org/entity/Q566893,Annie
http://www.wikidata.org/entity/Q4023333,Yūko
http://www.wikidata.org/entity/Q4007541,Valchiria
http://www.wikidata.org/entity/Q4006307,Urania
http://www.wikidata.org/entity/Q687322,Amaranta
http://www.wikidata.org/entity/Q687393,Maisie
http://www.wikidata.org/entity/Q686679,Armgard
http://www.wikidata.org/entity/Q387682,Vicenza
http://www.wikidata.org/entity/Q386156,Waltraud
http://www.wikidata.org/entity/Q566131,Anneliese
http://www.wikidata.org/entity/Q4056988,Agnessa
http://www.wikidata.org/entity/Q4023853,Zara
http://www.wikidata.org/entity/Q389528,Irene
http://www.wikidata.org/entity/Q388643,Afsahne
http://www.wikidata.org/entity/Q389039,Şiir
http://www.wikidata.org/entity/Q566410,Annemieke
http://www.wikidata.org/entity/Q1677509,Maryse
http://www.wikidata.org/entity/Q1675877,Iwajla
http://www.wikidata.org/entity/Q4056991,Agnia
http://www.wikidata.org/entity/Q682121,Desideria
http://www.wikidata.org/entity/Q1675491,Iva
http://www.wikidata.org/entity/Q1674560,Izolda
http://www.wikidata.org/entity/Q1675015,Itakayt
http://www.wikidata.org/entity/Q4120836,Johanna
http://www.wikidata.org/entity/Q1675496,Ivalu
http://www.wikidata.org/entity/Q394431,Agnes
http://www.wikidata.org/entity/Q394148,Živilė
http://www.wikidata.org/entity/Q4104034,Varuni
http://www.wikidata.org/entity/Q1680338,Sibel
http://www.wikidata.org/entity/Q697810,Amáta
http://www.wikidata.org/entity/Q4011458,Vienna
http://www.wikidata.org/entity/Q4009921,Verdiana
http://www.wikidata.org/entity/Q567178,Annikki
http://www.wikidata.org/entity/Q4057477,Adelheid
http://www.wikidata.org/entity/Q692575,Kara
http://www.wikidata.org/entity/Q392807,Šárka
http://www.wikidata.org/entity/Q696933,Amrita
http://www.wikidata.org/entity/Q695525,Amira
http://www.wikidata.org/entity/Q1678199,Jadranka
http://www.wikidata.org/entity/Q574510,Flavia
http://www.wikidata.org/entity/Q571104,Antara
http://www.wikidata.org/entity/Q692453,Lia
http://www.wikidata.org/entity/Q395150,Agnė
http://www.wikidata.org/entity/Q403821,Aida
http://www.wikidata.org/entity/Q1675814,Ivona
http://www.wikidata.org/entity/Q405000,Aila
http://www.wikidata.org/entity/Q4139559,Glafyra
http://www.wikidata.org/entity/Q4160311,Jean
http://www.wikidata.org/entity/Q4151899,Gulnaz
http://www.wikidata.org/entity/Q713703,Ildikó
http://www.wikidata.org/entity/Q713735,Aranka
http://www.wikidata.org/entity/Q410184,Aistė
http://www.wikidata.org/entity/Q408729,Airinė
http://www.wikidata.org/entity/Q1675729,Iveta
http://www.wikidata.org/entity/Q1682307,Nisa
http://www.wikidata.org/entity/Q697739,Amábel
http://www.wikidata.org/entity/Q1689259,Jimena
http://www.wikidata.org/entity/Q1689666,Jitka
http://www.wikidata.org/entity/Q427407,Parasceva
http://www.wikidata.org/entity/Q424327,Akvilė
http://www.wikidata.org/entity/Q406044,Aino
http://www.wikidata.org/entity/Q4176534,Dobrosława
http://www.wikidata.org/entity/Q4177563,Bronisława
http://www.wikidata.org/entity/Q713759,Selma
http://www.wikidata.org/entity/Q4092653,Berta
http://www.wikidata.org/entity/Q1684993,Queenie
http://www.wikidata.org/entity/Q1683888,Kadriye
http://www.wikidata.org/entity/Q567412,Annunziata
http://www.wikidata.org/entity/Q567435,Anny
http://www.wikidata.org/entity/Q1679597,Jakobäa
http://www.wikidata.org/entity/Q1686058,Jeannie
http://www.wikidata.org/entity/Q423662,Akua
http://www.wikidata.org/entity/Q417253,Akemi
http://www.wikidata.org/entity/Q567094,Annika
http://www.wikidata.org/entity/Q1686048,Jeannette
http://www.wikidata.org/entity/Q4170545,Mahagauri
http://www.wikidata.org/entity/Q596638,Antonella
http://www.wikidata.org/entity/Q598081,Afra
http://www.wikidata.org/entity/Q4162696,Edurne
http://www.wikidata.org/entity/Q591273,Saoirse
http://www.wikidata.org/entity/Q578976,Rixt
http://www.wikidata.org/entity/Q577032,Eunika
http://www.wikidata.org/entity/Q714592,Blandina
http://www.wikidata.org/entity/Q714883,Delila
http://www.wikidata.org/entity/Q714893,Enid
http://www.wikidata.org/entity/Q717667,Philomena
http://www.wikidata.org/entity/Q715080,Evangelina
http://www.wikidata.org/entity/Q4197149,Yvette
http://www.wikidata.org/entity/Q4194684,Zulfiya
http://www.wikidata.org/entity/Q588617,Teofánia
http://www.wikidata.org/entity/Q582903,Roshanak
http://www.wikidata.org/entity/Q578453,Ragna
http://www.wikidata.org/entity/Q600538,Nicky
http://www.wikidata.org/entity/Q601533,Montserrat
