n,name
http://www.wikidata.org/entity/Q113098,Tahir
http://www.wikidata.org/entity/Q280684,Toivo
http://www.wikidata.org/entity/Q120408,Artem
http://www.wikidata.org/entity/Q123546,Gaudenz
http://www.wikidata.org/entity/Q1237447,Pieter
http://www.wikidata.org/entity/Q1237225,Plato
http://www.wikidata.org/entity/Q123426,Fikri
http://www.wikidata.org/entity/Q283219,Ajit
http://www.wikidata.org/entity/Q282919,Fabiusz
http://www.wikidata.org/entity/Q120416,Gunnar
http://www.wikidata.org/entity/Q2045138,Pablo
http://www.wikidata.org/entity/Q140065,Zadoc
http://www.wikidata.org/entity/Q140526,Zaharije
http://www.wikidata.org/entity/Q280861,Endre
http://www.wikidata.org/entity/Q1239626,Donal
http://www.wikidata.org/entity/Q1240528,Donaldas
http://www.wikidata.org/entity/Q741,Jaroslav
http://www.wikidata.org/entity/Q2055870,Ludo
http://www.wikidata.org/entity/Q290080,Vytautas
http://www.wikidata.org/entity/Q2046559,Pajtim
http://www.wikidata.org/entity/Q142931,Minoru
http://www.wikidata.org/entity/Q1557,Simeon
http://www.wikidata.org/entity/Q1238407,Dominykas
http://www.wikidata.org/entity/Q123651,Caesar
http://www.wikidata.org/entity/Q294054,Ödön
http://www.wikidata.org/entity/Q127069,Ivar
http://www.wikidata.org/entity/Q294833,Alan
http://www.wikidata.org/entity/Q295698,Ariobarzane
http://www.wikidata.org/entity/Q1238077,Domininkas
http://www.wikidata.org/entity/Q1237676,Dominick
http://www.wikidata.org/entity/Q4642,Marcus
http://www.wikidata.org/entity/Q923,Alexander
http://www.wikidata.org/entity/Q1241023,Stan
http://www.wikidata.org/entity/Q143054,Dídac
http://www.wikidata.org/entity/Q290693,Nándor
http://www.wikidata.org/entity/Q292691,Ernst
http://www.wikidata.org/entity/Q29884,Ville
http://www.wikidata.org/entity/Q2063946,Paulius
http://www.wikidata.org/entity/Q300770,Aad
http://www.wikidata.org/entity/Q297611,Öner
http://www.wikidata.org/entity/Q1241954,Donnie
http://www.wikidata.org/entity/Q20164,Sergius
http://www.wikidata.org/entity/Q20790,Lukas
http://www.wikidata.org/entity/Q1240596,Donatas
http://www.wikidata.org/entity/Q159713,Klemens
http://www.wikidata.org/entity/Q42771,Nicholas
