id,mention,wp_title,ratio
Q3750319,Stefano Montanari,Francesco Montanari (attore),0.5777777777777777
Q47683,Stefano Montanari,Beppe Grillo,0.27586206896551724
Q273731,Stefano Montanari,Danila Comastri Montanari,0.6190476190476191
Q16300367,Stefano Montanari,Eleonora Buratto,0.30303030303030304
Q1396120,Yair Lapid,Yair Lapid,1.0
Q43723,Yair Lapid,Benjamin Netanyahu,0.2857142857142857
Q39318,Yair Lapid,Naftali Bennett,0.24
Q3851266,Massimo Garavaglia,Massimo Garavaglia,1.0
Q388442,Massimo Garavaglia,Dario Franceschini,0.3888888888888889
Q16571306,Massimo Garavaglia,Laura Castelli,0.25
Q181794,Massimo Garavaglia,Daniela Santanchè,0.2857142857142857
Q3851144,Massimo Garavaglia,Massimo Bitonci,0.5454545454545454
Q52418964,Bignami,Galeazzo Bignami,0.6086956521739131
Q3766836,Bignami,Giovanni Bignami,0.6086956521739131
Q3839341,Bignami,Luigi Bignami,0.7
Q7923274,Bignami,Vespasiano Bignami,0.56
Q3725632,Bignami,Enrico Bignami,0.6666666666666666
Q1188501,John_Mearsheimer Con-direttore,Victoria Nuland,0.17777777777777778
Q149557,John_Mearsheimer Con-direttore,Justin Raimondo,0.4
Q471730,John_Mearsheimer Con-direttore,Arsenij Jacenjuk,0.2608695652173913
Q735283,John_Mearsheimer Con-direttore,Sergio Romano,0.27906976744186046
Q51566,Spike,Spike Lee,0.7142857142857143
Q259913,Spike,Spike Jonze,0.625
Q441600,Spike,Spike Edney,0.625
Q1363307,Spike,Spike Dudley,0.5882352941176471
Q294460,Draghi M.,Mario Draghi,0.5714285714285714
Q16571306,Draghi M.,Laura Castelli,0.2608695652173913
Q55158199,Draghi M.,Claudio Durigon,0.25
Q53844829,"Conte

",Giuseppe Conte,0.47619047619047616
Q26580,"Conte

",Antonio Conte,0.5
Q179516,"Conte

",Paolo Conte,0.5555555555555556
Q12927,Pen,Marine Le Pen,0.375
Q7177,Pen,Jean-Marie Le Pen,0.3
Q3874799,Vladimir Zelensky,Volodymyr Zelens'kyj,0.7567567567567568
Q43330,Vladimir Zelensky,Mikheil Saak'ashvili,0.21621621621621623
Q60772,Vladimir Zelensky,Ursula von der Leyen,0.43243243243243246
Q16223956,Vladimir Zelensky,Vladimir Škljarov,0.5882352941176471
Q202209,Amato,Giuliano Amato,0.5263157894736842
Q3848276,Amato,Mario Amato,0.625
Q3756882,Amato,Gaetano Amato,0.5555555555555556
Q3972345,Amato,Stefano Amato,0.5555555555555556
Q3770812,Andrea Grignolio,Giuseppe Levi,0.20689655172413793
Q28599762,Andrea Grignolio,Margherita Di Rauso,0.34285714285714286
Q3741915,Andrea Grignolio,Federico Taddia,0.3870967741935484
Q14754989,Andrea Grignolio,Elena Cattaneo,0.3333333333333333
Q109553,Andrea Grignolio,Renato Dulbecco,0.1935483870967742
Q539,Andrea Grignolio,Giuseppe Garibaldi,0.4117647058823529
Q132345,Shinzo Abe,Shinzō Abe,0.9
Q122465,Shinzo Abe,Yoshihide Suga,0.25
Q2899818,Vernon Coleman,Lil Durk,0.09090909090909091
Q25095399,Vernon Coleman,21 Savage,0.08695652173913043
Q52151598,Vernon Coleman,Juice Wrld,0.25
Q358087,Vernon Coleman,Tyga,0.1111111111111111
Q44479972,Vernon Coleman,6ix9ine,0.09523809523809523
Q587628,Vernon Coleman,Vernon Reid,0.64
Q30612480,Vernon Coleman,Offset (rapper),0.13793103448275862
