id,mention,wp_title,ratio,ranking
Q25191,Christopher Steele,Christopher Nolan,0.7428571428571429,0
Q3644509,Christopher Steele,Brian Steele,0.6,1
Q371280,Christopher Steele,George Romney,0.1935483870967742,2
Q380095,Christopher Steele,Christopher Meloni,0.7777777777777778,3
Q3742411,Christopher Steele,Sergej Skripal',0.2424242424242424,4
Q106997,Christopher Steele,Jamie Lee Curtis,0.2352941176470588,5
Q16832250,Christopher Steele,Marina Squerciati,0.2857142857142857,6
Q2315802,Christopher Steele,Dakota Johnson,0.1875,8
Q455177,Christopher Steele,Cassandra Harris,0.2352941176470588,9
Q451791,Meloni,Giorgia Meloni,0.6,0
Q16575890,Meloni,Marco Meloni (politico),0.4137931034482758,3
Q380095,Meloni,Christopher Meloni,0.5,4
Q3609702,Meloni,Alessandra Meloni,0.5217391304347826,7
Q3119423,Meloni,Guido Crosetto,0.2,8
Q3852881,Leonardo-Finmeccanica,Mauro Moretti,0.1176470588235294,2
Q762,Leonardo-Finmeccanica,Leonardo da Vinci,0.631578947368421,6
Q3938696,Cingolani,Roberto Cingolani,0.6923076923076923,0
Q3848450,Cingolani,Mario Cingolani,0.75,2
Q2849382,Cingolani,Angela Maria Guidi Cingolani,0.4864864864864865,3
Q16526210,Cingolani,Andrea Cingolani,0.72,4
Q374467,Cingolani,Gabriele dell'Addolorata,0.2424242424242424,5
Q96354706,Cingolani,Carlo Cingolani,0.75,7
Q104538317,Cingolani,Luciano Cingolani,0.6923076923076923,8
Q1615225,Cingolani,Luigi Cingolani,0.75,9
Q615016,Marco Travaglio,Marco Travaglio,1.0,0
Q3900852,Marco Travaglio,Peter Gomez,0.1538461538461538,2
Q3619981,Marco Travaglio,Antonio Padellaro,0.1875,4
Q3846211,Marco Travaglio,Marco Lillo,0.6153846153846154,5
Q47589,Marco Travaglio,Renato Schifani,0.3333333333333333,7
Q327914,Marco Travaglio,Indro Montanelli,0.3870967741935484,8
Q11860,Marco Travaglio,Silvio Berlusconi,0.25,9
Q1247041,Santoro,Michele Santoro,0.6363636363636364,0
Q294819,Santoro,Rodrigo Santoro,0.6363636363636364,2
Q474695,Santoro,Filippo Santoro,0.6363636363636364,3
Q65953172,Santoro,Sergio Santoro,0.6666666666666666,4
Q361108,Santoro,Santorio Santorio,0.5833333333333334,5
Q312726,Santoro,Fabrice Santoro,0.6363636363636364,6
Q106813185,Santoro,Matteo Santoro,0.6666666666666666,9
Q44107,Andrea Zhok,Peter Handke,0.2608695652173913,2
Q47683,Andrea Zhok,Beppe Grillo,0.1739130434782608,5
Q242078,Pillay,Navanethem Pillay,0.5217391304347826,0
Q56226,Pillay,Kim Jong-un,0.1176470588235294,4
Q57641,Orban,Viktor Orbán,0.4705882352941176,0
Q2577379,Orban,Willi Orban,0.625,2
Q3838363,Orban,Lucas Orbán,0.5,4
Q671955,Orban,Ludovic Orban,0.5555555555555556,5
Q451791,Orban,Giorgia Meloni,0.3157894736842105,8
Q5944264,Hunter Biden,Hunter Biden,1.0,0
Q19285477,Hunter Biden,Neilia Hunter Biden,0.7741935483870968,1
Q813332,Hunter Biden,Beau Biden,0.6363636363636364,2
Q6279,Hunter Biden,Joe Biden,0.6666666666666666,3
Q235349,Hunter Biden,Jill Biden,0.5454545454545454,4
Q97588420,Hunter Biden,Ashley Biden,0.5833333333333334,5
Q3731533,Hunter Biden,Eric Trump,0.0909090909090909,9
Q1003484,Catherine Engelbrecht,Giovanni Franco,0.2222222222222222,4
Q3802255,Isabella Giampaoli,Isabella Bossi Fedrigotti,0.5581395348837209,0
Q29639230,Isabella Giampaoli,Giampaolo Manfrone,0.4444444444444444,1
Q106614006,Isabella Giampaoli,Isabella Pallavicino,0.5789473684210527,2
Q1054843,Isabella Giampaoli,Micaela Ramazzotti,0.5555555555555556,3
Q3762484,Isabella Giampaoli,Giampaolo Rugarli,0.5142857142857142,4
Q47563,Matteo Renzi,Matteo Renzi,1.0,0
Q8262071,Matteo Renzi,Matteo Orfini,0.72,3
Q16975892,Matteo Renzi,Elly Schlein,0.1666666666666666,6
Q15976266,Matteo Renzi,Dario Nardella,0.3076923076923077,7
Q388442,Matteo Renzi,Dario Franceschini,0.4,8
Q170581,Nancy Pelosi,Nancy Pelosi,1.0,0
Q193426,Nancy Pelosi,Nancy Reagan,0.5833333333333334,4
Q22686,Nancy Pelosi,Donald Trump,0.1666666666666666,9
Q713479,Jimmy Savile,Jimmy Savile,1.0,0
Q355384,Jimmy Savile,Gary Glitter,0.3333333333333333,3
Q333118,Jimmy Savile,David Icke,0.3636363636363636,8
Q3779495,Guido Viale,Guido Viale (saggista),0.6666666666666666,0
Q39730162,Guido Viale,Guido Viale (politico),0.6666666666666666,2
Q614774,Q.,Maggie Q,0.2,5
Q264730,Gloria Vanderbilt,Gloria Vanderbilt,1.0,0
Q3835694,Gloria Vanderbilt,Liù Bosisio,0.2142857142857142,4
Q206856,Gloria Vanderbilt,Angela Lansbury,0.375,5
Q935640,Gloria Vanderbilt,Clara Bindi,0.5,6
