mention,wp_title,cosine
"<3

Giuseppe Masala",Francesco Masala,0.8496316
"<3

Giuseppe Masala",K'akhaber K'aladze,0.771387
"<3

Giuseppe Masala",Alessandro Costacurta,0.8221636
"<3

Giuseppe Masala",Giuseppe Brotzu,0.86005604
"<3

Giuseppe Masala",Denzel Washington,0.7540487
"<3

Giuseppe Masala",Adriano Leite Ribeiro,0.781824
"ADESSO ❓

Ora",Eckhart Tolle,0.78383976
AGOSTO 2022,Khvicha Kvaratskhelia,0.74840665
AUGUSTO SINAGRA:,Felice Battaglia,0.8240638
AUGUSTO SINAGRA:,Giuseppe Giulietti (sindacalista),0.8786351
AUGUSTO SINAGRA:,Tea Falco,0.804202
AUGUSTO SINAGRA:,Paolo Borsellino,0.82699597
AUGUSTO SINAGRA:,Ernesto Lama,0.84707797
Ada Lovelace,Ada Lovelace,1.0000002
Ada Lovelace,George Gordon Byron,0.80841017
Ada Lovelace,Anne Isabella Milbanke,0.8245336
Agamben,Giorgio Agamben,0.95710194
Agamben,Maria Federici,0.7788402
Agamben,Ginevra Bompiani,0.7703048
Agamben,Walter Benjamin,0.80134284
Agamben,Elsa Morante,0.7918237
Agamben,Donatella Di Cesare,0.7677505
Agamben,Massimo Cacciari,0.7838252
Aldrin,Buzz Aldrin,0.96671796
Aldrin,Neil Armstrong,0.79269093
Aldrin,Michael Collins (astronauta),0.78634787
Aldrin,Alyson Hannigan,0.81487036
Aleksandr Dugin,Aleksandr Gel'evič Dugin,0.9126591
Aleksandr Dugin,Ėduard Limonov,0.85128665
Aleksandr Zakharchenko,Aleksandr Zacharčenko,0.9117802
Alessandro Sieni,Sandro Botticelli,0.80273557
Alessandro Sieni,Alessandro Leogrande,0.8653738
Alessandro Sieni,Nada (cantante),0.7761373
Alessandro Sieni,Felice Cappa,0.8328143
Alessia,Alessia Marcuzzi,0.9309326
Alessia,Alessia Morani,0.9269398
Alessia,Alessia Mancini,0.9329083
Alessia,Alessia Merz,0.9385799
Alessia,Alessia Ventura,0.92950225
Alessia,Alessia Amendola,0.91766644
Alessia,Alessia Orro,0.9038711
Alessia,Alessia Reato,0.9404585
Alessia,Alessia Gennari,0.94318545
Alex Lourie,Boris Pasternak,0.79375196
Alex Lourie,Charles Herbert,0.83339965
Alex Zanotelli,Alex Zanotelli,0.99999994
Alex Zanotelli,Mimmo Lucano,0.8805312
Alex Zanotelli,Erri De Luca,0.81749374
Alex Zanotelli,Donatella Di Cesare,0.838711
Alexander Dugin,Aleksandr Gel'evič Dugin,0.88459295
Alexander Dugin,Steve Bannon,0.8243415
Alexander Dugin,Richard B. Spencer,0.81560206
Alice Bailey,Alice Bailey,1.0000002
Alice Bailey,Laura Bailey,0.94851327
Alvise Zaccherini,Giancarlo Susini,0.84230554
Amato,Giuliano Amato,0.9249547
Amato,Mario Amato,0.91360015
Amato,Gaetano Amato,0.92587924
Amato,Giuseppe Amato,0.93209267
Amato,Stefano Amato,0.9429484
Amministrazione Biden,Joe Biden,0.8530084
