s,o,entity
odang_person_7164960,P1038,Q22116705
odang_person_2399185,P106,Q486748
odang_person_8365618,P166,Q15303658
odang_person_3596098,P108,Q1362729
Q47768,label,Italia dei Valori
Q3655950,label,Annia Aurelia Galeria Faustina
odang_person_8361540,P3373,Q1343523
odang_person_2391412,P166,Q25350450
odang_person_2402729,P39,Q54877757
odang_person_3657116,P106,Q82955
odang_person_6293203,P937,Q605714
Q192857,label,Menteng
Q6092845,label,ministro delle infrastrutture e dei trasporti della Repubblica Italiana
odang_person_1197461,P551,Q45240
odang_person_7270585,P26,Q19403344
Q1471215,label,ordine del Leone dei Paesi Bassi
odang_person_7173284,P39,Q27991492
odang_person_4793584,P102,Q321022
odang_person_3585447,P106,Q82955
odang_person_132843,P103,Q1860
odang_person_1197488,P166,Q185493
odang_person_5978177,P551,Q6966305
odang_person_1197615,P39,Q1553195
odang_person_7173284,P39,Q55024178
odang_person_2403434,P19,Q3519
odang_person_4778921,P1412,Q188
Q37320,label,Cleveland
Q170972,label,Partito Socialista
odang_person_5305938,P463,Q19606517
odang_person_5088473,P106,Q201788
odang_person_132843,P19,Q61
odang_person_4778023,P39,Q34518803
odang_person_6034760,P22,Q98739015
Q6758256,label,Marcus Jordan
odang_person_7176268,P937,Q60
Q4011164,label,vicepresidente del Consiglio dei ministri della Repubblica Italiana
odang_person_8373230,P166,Q3799678
Q652,label,italiano
odang_person_5977951,P166,Q56085709
odang_person_4778023,P166,Q14900501
odang_person_6008440,P103,Q1860
odang_person_7165067,P1412,Q1860
odang_person_434,P106,Q3387717
odang_person_7165093,P166,Q4335906
Q17231624,label,legionario della Legion of Merit
odang_person_7173084,P39,Q55096558
odang_person_6034760,P25,Q98739565
odang_person_1197615,P937,Q6602
odang_person_7164966,P106,Q32947888
odang_person_3592187,P106,Q131524
odang_person_7164960,P26,Q76433
odang_person_5447816,P27,Q38
odang_person_3585484,P39,Q796897
odang_person_7165093,P1412,Q1860
odang_person_84797,P166,Q10855226
odang_person_8382707,P26,Q61799788
odang_person_3585801,P1412,Q150
odang_person_7172523,P103,Q1860
odang_person_7185461,P106,Q2526255
odang_person_1197470,P166,Q7182737
Q435955,label,Maria Carolina d'Asburgo-Lorena
odang_person_8360890,P106,Q185351
odang_person_7200101,P1412,Q652
odang_person_1298542,P39,Q13653224
odang_person_86468,P103,Q150
odang_person_8386528,P106,Q1238570
odang_person_4790404,P1412,Q652
Q47536174,label,consigliere regionale dell'Emilia-Romagna
Q1773,label,Riga
odang_person_5977951,P166,Q5305703
Q2803671,label,Tony Walton
Q181733,label,Guardia pretoriana
odang_person_2391412,P166,Q20714937
odang_person_4788830,P166,Q17985761
Q932281,label,European Film Awards per il miglior attore
odang_person_7172523,P39,Q13218630
odang_person_2396078,P19,Q39420
odang_person_8360972,P106,Q5482740
Q72654,label,Magnus von Braun
odang_person_7210662,P1412,Q1860
odang_person_7164960,P1412,Q188
odang_person_3627259,P569,1965
odang_person_8377314,P21,Q6581072
odang_person_3693813,P106,Q82955
odang_person_2396078,P27,Q145
odang_person_3596098,P26,Q27134642
odang_person_7166218,P937,Q64
odang_person_1211359,P106,Q2526255
odang_person_169429,P19,Q61
odang_person_7188382,P106,Q36180
Q5146,label,portoghese
Q40255792,label,Joan Borrell Mayeur
odang_person_2501458,P1412,Q652
odang_person_6293203,P945,Q159
odang_person_8373230,P106,Q28389
odang_person_5977147,P166,Q629291
odang_person_2392287,P22,Q85622497
odang_person_3584621,P103,Q188
odang_person_4778076,P937,Q239
Q400007,label,BAFTA al miglior attore protagonista
odang_person_7192920,P106,Q33999
odang_person_7474417,P102,Q780997
odang_person_4778023,P166,Q3885253
odang_person_1204170,P166,Q43305900
odang_person_1204170,P39,Q274948
Q10843402,label,nuotatore
Q15627169,label,sindacalista
odang_person_6838,P102,Q29552
odang_person_5979461,P569,1937
Q215350,label,Forza Italia
odang_person_8365618,P166,Q30868915
odang_person_646,P106,Q188094
Q1422957,label,ordine dei Santi Maurizio e Lazzaro
odang_person_1204170,P19,Q179645
odang_person_4886108,P569,1955
Q7555824,label,SolarCity
odang_person_5120547,P1412,Q652
odang_person_4794261,P39,Q109583367
odang_person_2494494,P106,Q2722764
odang_person_8368627,P1412,Q150
Q1245999,label,Università degli Studi di Siena
odang_person_8391366,P106,Q8246794
Q18013,label,Sacramento
Q578109,label,produttore televisivo
odang_person_1300984,P3373,Q3713655
odang_person_6008440,P20,Q1008912
odang_person_8647321,P1412,Q652
Q158232,label,Carlo Alessandro di Lorena
odang_person_2402903,P1066,Q107704824
odang_person_1304818,P39,Q55096606
odang_person_4778921,P166,Q1788876
odang_person_2391475,P26,Q1649757
odang_person_646,P166,Q20853537
Q232595,label,Partito Liberal Democratico
Q56034786,label,Hilde Schwab
odang_person_1216363,P108,Q6268207
odang_person_1197538,P937,Q61
odang_person_7176041,P106,Q486748
odang_person_4785632,P166,Q1754110
Q7233,label,Lockheed Corporation
odang_person_7176268,P21,Q6581097
odang_person_25813,P106,Q82955
odang_person_6006130,P1412,Q652
odang_person_4777860,P39,Q1540336
odang_person_7188382,P3373,Q3751633
odang_person_7165093,P166,Q26205110
odang_person_6494519,P39,Q13653224
Q47750,label,Lega Nord
Q108273511,label,prefetto di Milano
Q4964182,label,filosofo
odang_person_150677,P22,Q333468
Q22133423,label,Heiner Hochegger
Q14539884,label,Grande ufficiale OMRI
odang_person_3586399,P569,1967
odang_person_6003874,P937,Q649
odang_person_1198059,P40,Q5984013
odang_person_4786941,P108,Q1065
odang_person_4886108,P27,Q38
Q2792033,label,Scelta Civica
odang_person_7164998,P166,Q4286958
odang_person_1198059,P27,Q3185305
odang_person_7172523,P166,Q101542257
odang_person_1197398,P119,Q3676982
odang_person_4777860,P19,Q80008
odang_person_1307204,P102,Q541679
odang_person_1197470,P463,Q3075672
Q55110543,label,ministro senza portafoglio per lo spettacolo e lo sport della Repubblica Italiana
odang_person_4778921,P106,Q10497074
odang_person_2472371,P119,Q96176692
odang_person_8647321,P569,1962
odang_person_5120547,P1412,Q1860
odang_person_8382707,P21,Q6581097
odang_person_3584621,P463,Q560584
odang_person_4786096,P569,1847
Q958419,label,Liga Veneta
odang_person_4777951,P166,Q2469017
odang_person_8369627,P551,Q370619
Q81066,label,segretario generale delle Nazioni Unite
odang_person_1197470,P39,Q4416090
odang_person_4122197,P102,Q47817
Q157062,label,Unilever
Q1427911,label,Formateur
odang_person_5978725,P6886,Q1860
Q11997611,label,ordine della libertà della Repubblica di Slovenia
odang_person_5978725,P21,Q6581097
odang_person_2407563,P106,Q177220
odang_person_4778023,P1066,Q4943587
odang_person_3596098,P1412,Q150
odang_person_17701,P1412,Q652
odang_person_4778023,P166,Q1143095
odang_person_1300984,P102,Q29468
odang_person_8361074,P3373,Q42310238
odang_person_7176270,P106,Q39631
odang_person_7172523,P166,Q86241109
odang_person_8372323,P19,Q220
Q80919,label,KGB
Q2995361,label,Consulta nazionale
Q923193,label,Les Echos
Q1022487,label,Ain Karem
odang_person_14026,P39,Q2994367
odang_person_3657116,P102,Q47720
odang_person_1236675,P106,Q82955
Q668699,label,Partito Operaio di Unificazione Marxista
odang_person_4777860,P166,Q5122602
odang_person_1228140,P20,Q220
odang_person_1236675,P102,Q47729
odang_person_1197470,P106,Q36180
odang_person_687,P166,Q644357
odang_person_5977749,P463,Q123885
odang_person_1204170,P569,1954
Q15117228,label,cavaliere dell'Ordine del Toson d'oro
odang_person_4804043,P166,Q1509201
odang_person_3584852,P27,Q31
odang_person_1197538,P19,Q975048
odang_person_8368627,P106,Q36180
odang_person_3584641,P40,Q16167328
odang_person_7173284,P19,Q495
odang_person_3585801,P166,Q2360655
odang_person_8361540,P25,Q78023
odang_person_2402729,P39,Q27169
odang_person_1197461,P19,Q3711
odang_person_3609021,P102,Q47729
odang_person_8365919,P1412,Q7737
odang_person_7200101,P39,Q3954360
odang_person_1197488,P166,Q1783222
odang_person_8423132,P39,Q13554447
Q22339203,label,Charlotte Bloomberg
odang_person_7206513,P21,Q6581097
Q2172237,label,Rudolf-Diesel-Medaille
odang_person_3584633,P166,Q22058344
odang_person_24933,P106,Q937857
odang_person_1204170,P102,Q232595
Q965043,label,giudice della Corte penale internazionale
odang_person_4886108,P106,Q36180
odang_person_8369627,P551,Q128321
Q12201477,label,Commendatore dell'Ordine dell'Impero Britannico
odang_person_1198045,P21,Q6581097
odang_person_8373230,P106,Q201788
odang_person_84797,P106,Q372436
Q15070044,label,Malia Obama
odang_person_4261447,P106,Q3665646
odang_person_3585487,P103,Q652
odang_person_4778023,P39,Q3052674
odang_person_7165093,P106,Q18814623
odang_person_2392216,P569,1980
odang_person_5978172,P106,Q13218361
odang_person_8468800,P19,Q51836
odang_person_1198059,P40,Q361636
odang_person_2391784,P106,Q36180
Q2735485,label,Roundhay
odang_person_3783903,P27,Q38
odang_person_3596533,P569,1955
odang_person_2416111,P569,1953
odang_person_3585801,P166,Q4188054
odang_person_7175172,P119,Q1624932
odang_person_6003874,P166,Q18080427
odang_person_1470716,P102,Q327591
odang_person_3627259,P39,Q27169
odang_person_1197538,P26,Q233648
odang_person_1197488,P166,Q1648388
Q37922,label,premio Nobel per la letteratura
odang_person_4778023,P1412,Q7979
odang_person_646,P27,Q38
odang_person_9468725,P106,Q40348
Q15291073,label,Luigi Berlusconi
odang_person_8397041,P39,Q3687266
odang_person_4122140,P19,Q13670
Q292708,label,Randi Zuckerberg
odang_person_3587042,P1412,Q188
odang_person_12811,P106,Q11774202
Q1134161,label,L'Ulivo
odang_person_1256237,P20,Q2135
odang_person_8360972,P166,Q63091960
Q54145,label,Medford
Q2325554,label,Alexandra Pelosi
odang_person_5982498,P40,Q75624326
odang_person_1198501,P26,Q17278682
odang_person_8365618,P166,Q14324534
odang_person_3587042,P106,Q4964182
odang_person_7165760,P166,Q3312309
odang_person_5305938,P39,Q796897
odang_person_8400591,P21,Q6581097
odang_person_1197488,P40,Q4131389
Q12119633,label,immunologo
Q7164,label,Banca Mondiale
odang_person_4792671,P569,1958
odang_person_5978177,P166,Q3053245
odang_person_5980763,P106,Q33999
odang_person_3584621,P166,Q1300431
odang_person_4794799,P21,Q6581072
Q194540,label,medaglia del giubileo di diamante di Elisabetta II
odang_person_8365919,P551,Q135394
odang_person_7184397,P1412,Q32724
Q1218,label,Gerusalemme
Q62,label,San Francisco
odang_person_646,P3373,Q3742011
odang_person_7175172,P106,Q10798782
odang_person_8369627,P27,Q30
odang_person_1208972,P1412,Q1860
odang_person_4778921,P166,Q10905276
odang_person_4880168,P19,Q2634
odang_person_2391475,P463,Q668699
Q23556,label,Atlanta
odang_person_2242757,P108,Q310207
odang_person_1298542,P106,Q8142883
odang_person_3596533,P102,Q541679
odang_person_7215547,P103,Q652
odang_person_7165335,P166,Q2452975
odang_person_8368236,P569,1960
odang_person_2391475,P106,Q164236
odang_person_8368594,P166,Q928314
odang_person_3593653,P108,Q712849
odang_person_1197488,P166,Q3355325
odang_person_4794261,P1412,Q150
Q5232929,label,Michel Trudeau
Q2452975,label,ordine del liberatore
odang_person_7165067,P106,Q49757
odang_person_6034760,P551,Q21
odang_person_8391366,P937,Q6602
odang_person_5979461,P106,Q42909
odang_person_7215547,P39,Q27991508
odang_person_8361540,P119,Q21517046
odang_person_7169975,P1412,Q188
odang_person_6494519,P106,Q1650915
odang_person_5978177,P166,Q1260789
odang_person_8368594,P106,Q28389
Q3597288,label,Marko Djokovic
odang_person_8368594,P551,Q11299
odang_person_4778921,P551,Q490398
odang_person_1300984,P21,Q6581097
odang_person_6003874,P106,Q82955
Q887003,label,presidente della Repubblica di Cina
Q27787813,label,Edgewater Hospital
odang_person_6838,P166,Q5593890
odang_person_1198522,P108,Q4035785
odang_person_2399185,P27,Q15180
Q1332315,label,Elliott Cresson Medal
odang_person_109733,P21,Q6581097
odang_person_7169975,P463,Q547951
odang_person_4778023,P166,Q663005
odang_person_7164998,P166,Q6952406
odang_person_366795,P106,Q1930187
odang_person_7474417,P102,Q21405813
odang_person_1182,P463,Q123885
odang_person_1228140,P106,Q49757
odang_person_4788830,P166,Q1738793
odang_person_3686947,P106,Q201788
odang_person_8368594,P26,Q21694235
Q51136224,label,Tiziano Renzi
odang_person_3585447,P1412,Q1860
Q277643,label,Larino
odang_person_8360972,P166,Q10855212
odang_person_1236675,P21,Q6581097
