id,mention,wp_title,ratio,ranking
Q3960781,Maria Silvia,Silvia Olari,0.5,0
Q3960786,Maria Silvia,Silvia Paternò di Spedalotto,0.3,1
Q3960808,Maria Silvia,Silvia Verdone,0.4615384615384615,2
Q528080,Maria Silvia,Silvia Dionisio,0.4444444444444444,5
Q4171054,Maria Silvia,Mario De Caro,0.4,9
Q133121,Carlo Clemente,Papa Clemente XIII,0.625,0
Q38766105,Carlo Clemente,Carlo Clemente,1.0,1
Q83159,Carlo Clemente,Papa Clemente VII,0.6451612903225806,2
Q183226,Carlo Clemente,Carlo IV di Spagna,0.4375,3
Q129967,Carlo Clemente,Papa Clemente XI,0.6666666666666666,4
Q131587,Carlo Clemente,Papa Clemente XIV,0.6451612903225806,5
Q36234,Carlo Clemente,Carlo III di Spagna,0.4242424242424242,6
Q155961,Carlo Clemente,Papa Clemente IX,0.6666666666666666,7
Q32500,Carlo Clemente,Carlo V d'Asburgo,0.3870967741935484,8
Q170395,Carlo Clemente,Papa Clemente VIII,0.625,9
Q177854,Magnifico,Lorenzo de' Medici,0.2222222222222222,1
Q8474,Magnifico,Solimano il Magnifico,0.6,2
Q1077607,Magnifico,Walter Magnifico,0.72,4
Q24701812,Sgomberati,Chiara Appendino,0.2307692307692307,4
Q67129448,Sgomberati,Luciana Lamorgese,0.1481481481481481,6
Q238900,Isabella #[POLITICIAN].Grande,Judith Light,0.0975609756097561,0
Q173585,Isabella #[POLITICIAN].Grande,Jessica Lange,0.3333333333333333,1
Q30487,Isabella #[POLITICIAN].Grande,Michail Gorbačëv,0.1333333333333333,2
Q170574,Isabella #[POLITICIAN].Grande,Helen Hunt,0.2051282051282051,4
Q435844,Isabella #[POLITICIAN].Grande,Lamoral di Egmont,0.1739130434782608,5
Q890589,Isabella #[POLITICIAN].Grande,Jeanne de Clisson,0.217391304347826,6
Q43922,Papa Leone XIII,Papa Leone XIII,1.0,0
Q43954,Papa Leone XIII,Papa Leone I,0.8888888888888888,2
Q43727,Papa Leone XIII,Papa Leone XII,0.9655172413793104,4
Q43739,Papa Leone XIII,Papa Pio X,0.64,8
Q83029,Papa Leone XIII,Papa Gregorio XIII,0.7272727272727273,9
Q316762,Cristian,Cristián Zapata,0.6086956521739131,4
Q11571,Cristian,Cristiano Ronaldo,0.64,9
Q3860837,Monica...,Monica Romano,0.5454545454545454,0
Q81819,Monica...,Monica Bellucci,0.5,1
Q106881,Monica...,Monica Vitti,0.5714285714285714,3
Q3320729,Monica...,Monica Scattini,0.5,4
Q173633,Monica...,Monica Seles,0.5714285714285714,5
Q212659,Monica...,Monica Lewinsky,0.5,6
Q63706347,Monica...,Monica Giandotti,0.48,7
Q368627,Monica...,Monica Guerritore,0.4615384615384615,8
Q3860827,Monica...,Monica Leofreddi,0.48,9
Q7996,Terribili,Ivan IV di Russia,0.1538461538461538,3
Q17285394,Terribili,Gianna Terribili-Gonzales,0.5294117647058824,9
Q309756,Prinzio,Freddie Prinze Jr.,0.4,2
Q180665,Prinzio,Sarah Michelle Gellar,0.1428571428571428,3
Q3845241,Daniela Pompei,Mara Cubeddu,0.3076923076923077,2
Q463944,Daniela Pompei,Giuliano Gemma,0.2857142857142857,3
Q3701808,Daniela Pompei,Daniela Morelli,0.7586206896551724,5
Q2713542,Daniela Pompei,Daniela Dessì,0.6666666666666666,8
Q15972657,Toninelli,Danilo Toninelli,0.72,0
Q3845702,Toninelli,Marcello Toninelli,0.6666666666666666,2
Q54565819,Toninelli,Sergio Costa,0.0952380952380952,6
Q3893547,Toninelli,Paola De Micheli,0.4,7
Q194419,Toninelli,Richard Branson,0.1666666666666666,8
Q370910,Mimmo Salerno,Delio Rossi,0.3333333333333333,0
Q3858214,Mimmo Salerno,Mimmo Liguoro,0.6153846153846154,1
Q28974273,Mimmo Salerno,Nicolò Zaniolo,0.4444444444444444,6
Q319829,Oliver Holmes,Oliver Wendell Holmes,0.7647058823529411,0
