mention,wp_title,cosine
.Avanti,Giovanni Avanti,0.9044923
.Chi,Ho Chi Minh,0.8556994
.Chi,Chi Cheng,0.8139639
.Fiano,Emanuele Fiano,0.90086275
.Fiano,Nedo Fiano,0.8177525
.Possa,Mari Possa,0.8858907
.Possa,Guido Possa,0.86662906
.Possa,San Patrizio,0.8586675
.purtroppo,Rosa Balistreri,0.84393156
.purtroppo,Friedrich Wilhelm Murnau,0.795709
/Bo vlada,Louis Hofmann,0.7750186
/V komisiji,Andrius Kubilius,0.78168225
500mln,Cristiano Ronaldo,0.8657386
5647,Franklin Delano Roosevelt,0.7910708
5647,Gertrude Stein,0.7922957
9)Sirigu,Salvatore Sirigu,0.8253197
9)Sirigu,Pierluigi Gollini,0.77079123
9)Sirigu,Luciano Castellini,0.78697956
9)Sirigu,Alex Meret,0.78520334
9)Sirigu,Vanja Milinković-Savić,0.82347393
9)Sirigu,Marco Verratti,0.7867056
9)Sirigu,Gianluigi Buffon,0.77563095
A. Baricco,Alessandro Baricco,0.87038624
A. Farenga,Francesco Del Tuppo,0.698162
A. Farenga,Niccolò II da Correggio,0.68013203
A. Giannoni,Giotto Giannoni,0.929143
A. Giannoni,Roberto Giannoni,0.926513
A. Giannoni,Giovanni Giannoni,0.92383766
A. Giannoni,Alessio Giannone,0.83836436
A. Giannoni,Pietro Giannone,0.84634435
A. Giannoni,Salvatore Giannone,0.8279108
A. Migliaccio,Giulio Migliaccio,0.83078504
A. Migliaccio,Franco Migliacci,0.76028955
A. Migliaccio,Lucia Migliaccio,0.8254382
A. Migliaccio,Pietro Migliaccio,0.8385584
A. Migliaccio,Antonio Migliaccio,0.8297972
A. Migliaccio,Massimiliano Migliaccio,0.82510585
A. Mussolini,Benito Mussolini,0.8587553
A. Mussolini,Alessandra Mussolini,0.8516535
A. Mussolini,Romano Mussolini,0.866882
A. Mussolini,Arnaldo Mussolini,0.85566866
A. Mussolini,Vittorio Mussolini,0.8609941
A. Mussolini,Bruno Mussolini,0.8468224
A. Sofri,Adriano Sofri,0.8142495
A. Sofri,Luca Sofri,0.8214465
A. Sofri,Lucia Annunziata,0.7422197
A. Sofri,Gianni Sofri,0.8198951
A. Sofri,Giorgio Pietrostefani,0.75395024
A.D. Descalzi,Claudio Descalzi,0.80601335
A.D. Descalzi,Paolo Scaroni,0.77515817
A.D. Descalzi,Francesco Starace,0.76746786
A.D. Descalzi,Anna Mazzamauro,0.72039515
A.Koren,Jada Pinkett Smith,0.7925968
A.Koren,Kristijan Koren,0.8867154
A.Koren,Robert Koren,0.90562123
A.Koren,Katja Koren,0.90832555
A.Koren,Ziv Koren,0.9195951
A.Koren,Linn-Kristin Riegelhuth Koren,0.9052197
A.Koren,Jonathan Sacks,0.8294932
A.Manzoni,Piero Manzoni,0.8582504
A.Manzoni,Pietro Manzoni,0.8749635
A.Manzoni,Enrico Manzoni,0.8682051
ABROGARE,Yolanda Díaz,0.83388555
ACCETTIAMO,Valentina Cuppi,0.82976663
ACCETTIAMO,Benito Mussolini,0.85852313
ACCETTIAMO,Gorgo (regina di Sparta),0.7643767
ACETAIA LEONARDI,Johann Simon Mayr,0.7768126
ALBERTO ARBASINO,Alberto Arbasino,0.99999964
ALBERTO ARBASINO,Mauro Corona,0.85813355
ALBERTO ARBASINO,Carmelo Bene,0.7415199
ALBERTO ARBASINO,Dacia Maraini,0.85251665
ALBERTO ARBASINO,Italo Calvino,0.8923306
ALBERTO TESSA,Alberto Lupo,0.96154714
ALBERTO TESSA,Tessa (rapper),0.8447591
ANGELA,Angela Bassett,0.8823186
ANGELA,Angela Lansbury,0.9365839
ANGELA,Piero Angela,0.92871296
ANGELA,Angela Merkel,0.93192416
ANGELA,Angela White,0.9287835
ANGELA,Angela Finocchiaro,0.9299142
ANGELA,Angela Luce,0.92882514
ANGELA,Alberto Angela,0.9354366
ANGELA,Angela Marsons,0.8888913
ANTONINO,Antonino Cannavacciuolo,0.9370427
ANTONINO,Marco Aurelio,0.87237
ANTONINO,Antonino Pio,0.939493
ANTONINO,Antonino Caponnetto,0.91515255
ANTONINO,Antonino Zichichi,0.9431109
ANTONINO,Antonino Barillà,0.90817124
ANTONINO,Antonino Faà di Bruno (attore),0.8214263
ANTONINO,Antonino Spadaccino,0.85013056
AQUILEIA,Ilario e Taziano,0.8134684
ASPETTA RISPOSTE,Elvis Presley,0.7891506
Abbate,Federica Abbate,0.9327307
Abbate,Mario Abbate,0.9263764
Abbate,Lirio Abbate,0.8820008
Abbate,Matteo Abbate,0.92672086
Abbate,Simona Abbate,0.9361003
Abbate,Fulvio Abbate,0.9080662
Abbate,Carmelo Abbate,0.92470133
Abbattiamo,Stefano Salvi,0.88040626
Abbiate Guazzone,Marco Guazzone,0.9172975
Abbiate Guazzone,Enrico Guazzoni,0.8819336
Abbondio,Abbondio di Como,0.7320959
Abbondio,Valerio Abbondio,0.87625265
Abbondio,Abbondio Chialiva,0.77306354
Abbondio,Abbondio Rezzonico,0.8016558
Abbraccio,Milly D'Abbraccio,0.86154974
Abdon Pamich,Abdon Pamich,0.9999997
Abdon Pamich,Pietro Mennea,0.7841055
Abdon Pamich,Pino Dordoni,0.7804443
Abdon Pamich,Don Thompson,0.80443203
Abdon Pamich,Sara Simeoni,0.8023342
Abdulaziz Al Saud,Sultan bin Salman Al Sa'ud,0.88387823
Abdulaziz Al Saud,Mohammad bin Salman Al Sa'ud,0.9044447
Abdulaziz Al Saud,Salman dell'Arabia Saudita,0.76264435
Abdulaziz Al Saud,Abd Allah dell'Arabia Saudita,0.8290793
Abdulaziz Al Saud,Nāyef bin ʿAbd al-ʿAzīz Āl Saʿūd,0.8471847
Abdulaziz Al Saud,Fahd dell'Arabia Saudita,0.7577031
Abdulaziz Al Saud,Khalid dell'Arabia Saudita,0.7502192
Abdulaziz Al Saud,Turki bin Salman Al Sa'ud,0.89363873
Abdulaziz Al Saud,Abd al-Aziz dell'Arabia Saudita,0.800483
Abdullah Al,Abdullah Öcalan,0.8453035
Abdullah Al,Abd Allah II di Giordania,0.836924
Abdullah Al,Abdullah al-Thani,0.92104375
Abdullah Al,Abdullah bin Nasser bin Abdullah Al Ahmed Al Thani,0.8343292
Abdullah Al,Abdullah Abdullah,0.90442574
Abdullah Al,Abdullah Al-Khaibari,0.89196163
Abdullah Al,Husayn ibn 'Abd Allah,0.812251
Abdullah Al,Majed Abdullah,0.81038105
Abdullah II,Abd Allah II di Giordania,0.8556531
Abdullah II,Husayn ibn 'Abd Allah,0.7932611
Abdullah II,Abd Allah I di Giordania,0.8091242
Abdullah II,Ali ibn al-Husayn (emiro),0.7909571
Abdullah II,Rania di Giordania,0.831843
Abdullah II,Nawaf Al-Ahmad Al-Jaber Al Sabah,0.7755083
Abdullah II,Camilla Shand,0.82727665
Abe,Shinzō Abe,0.8255744
Abe,Abe Vigoda,0.85199255
Abe,Kensaku Abe,0.82494414
Abe,Kōbō Abe,0.9077066
Abe,Norifumi Abe,0.84456277
Abe,Abe Lenstra,0.85160094
Abe,Sada Abe,0.8177091
Abe,Tsuyoshi Abe,0.80222106
Abhijit Banerjee,Abhijit Banerjee,1.0000002
Abhijit Banerjee,Esther Duflo,0.83081585
Abhijit Banerjee,John Nash,0.796384
Abhijit Banerjee,Michael Kremer,0.8273431
Abhijit Banerjee,Milton Friedman,0.822742
Abi,ʿĀʾisha,0.910028
Abi,Muʿāwiya ibn Abī Sufyān,0.8168616
Abi,Abū Bakr,0.8629682
Abi,Abi Olajuwon,0.8053969
Abi,Antonio Patuelli,0.89684516
Abiy Ahmed Ali,Abiy Ahmed Ali,1.0
Abiy Ahmed Ali,Malala Yousafzai,0.76272696
Abiy Ahmed Ali,Jimmy Carter,0.81417114
Abiy Ahmed Ali,Nelson Mandela,0.7809444
Abolirlo,Michail Bakunin,0.84175605
Abolirlo,Massimo Fini,0.8572687
Aboubakar,Vincent Aboubakar,0.9774722
Aboubakar,Aboubakar Soumahoro,0.9445606
Aboubakar,Aboubakar Kamara,0.97495365
Aboubakar,Nakibou Aboubakari,0.9023193
Aboubakar,Aboubakar Oumarou,0.9429027
Aboubakar,Aboubakar Keita,0.9658457
Aboubakar,Gleison Bremer,0.8131479
Abraham Yehoshua,Abraham Yehoshua,0.99999994
Abraham Yehoshua,Daniele Mencarelli,0.7973657
Abraham Yehoshua,David Grossman,0.79045963
Abraham Yehoshua,José Saramago,0.80998635
Abraham Yehoshua,Klaus Schwab,0.8462362
Abraham Yehoshua,Milan Kundera,0.7099447
Abraham Yehoshua,Paolo Cognetti,0.8039281
Abraham Yehoshua,Paulo Coelho,0.78163445
Abramo,Abramo Canka,0.85703135
Abramo,Abraham Lincoln,0.90373677
Abramo Garau,Maria Carta,0.78189814
Abramo Garau,Papa Benedetto XVI,0.762576
Abramo Garau,Papa Pio XI,0.7389677
Acca,Valentina Acca,0.91460216
Acca,Clementino (rapper),0.80962545
Acca Larentia,Francesca Mambro,0.78267896
Acca Larentia,Omicidio di Roberto Scialabba,0.8026264
Acca Larentia,Cristiano Fioravanti,0.81518674
Acca Larenzia,Valerio Morucci,0.8041495
Accanirsi,Jack lo squartatore,0.7905674
Accanirsi,Carlo Ancelotti,0.8022625
Accogliamolo,Luigi Manconi,0.8430052
Accolti,Bernardo Accolti,0.88641304
Accolti,Pietro Accolti,0.91004586
Accolti,Benedetto Accolti il Giovane,0.76481664
Accolti dal Prefetto Carmela,Carlo Alberto dalla Chiesa,0.8256029
Accolti dal Prefetto Carmela,Benedetto Santapaola,0.8386302
Accusa Luigi,Luigi Sartor,0.928105
Accusa Luigi,Luigi XVI di Francia,0.8576393
Accusa Luigi,Gigi D'Alessio,0.78498274
Accusa Luigi,Luigi Di Maio,0.84292793
Accusa Luigi,Pierluigi Concutelli,0.8226139
Accusa Luigi,Luigi IX di Francia,0.8607422
Accusa Luigi,Luigi Abete,0.8992868
Accusa Luigi,Luigi XVII di Francia,0.8570261
Accusa Luigi,Luigi Calabresi,0.9078269
Accusa Luigi,Napoleone III di Francia,0.787283
Achille,Achille Occhetto,0.92190945
Achille,Achille Lauro (cantante),0.8682091
Achille,Papa Pio XI,0.7724603
Achille,Achille Lauro,0.90713155
Achille,Achille Togliani,0.89301455
Achille,Achille Starace,0.9308011
Achille,Achille Campanile,0.93694055
Achille Occhetto,Achille Occhetto,1.0000001
Achille Occhetto,Aureliana Alberici,0.82490855
Achille Occhetto,Massimo D'Alema,0.82451093
Achille Saletti,Mélanie Calvat,0.86358243
Achille Saletti,Maximin Giraud,0.75186455
Achille Saletti,Totò,0.8392208
Achille Saletti,Guglielmo Achille Cavellini,0.9241284
Acquirente Unico-GSE,Paolo Vigevano,0.75998396
Acutissima,Axl Rose,0.83079123
Ad Salini,Pietro Salini,0.8756908
Ad Salini,Fabrizio Salini,0.8597277
Ad Salini,Massimiliano Salini,0.8715317
Ad Salini,Rocco Salini,0.8444419
Ad Salini,Tommaso Salini,0.87080175
Ada,Ada Lovelace,0.957726
Ada,Ada Negri,0.9414787
Ada,Ada Gobetti,0.9444096
Ada,Ada Colau,0.88710034
Adalberto,Adalberto Maria Merli,0.9636333
Adalberto,Adalberto di Savoia-Genova,0.90622455
Adalberto,Adalberto Libera,0.9796729
Adalberto,Adalberto Bortolotti,0.97943544
Adalberto,Adalberto Atto di Canossa,0.9369748
Adalberto,Adalberto di Prussia,0.9590197
Adalberto,Adalberto II d'Ivrea,0.9085874
Adalberto Parenti,Tommaso Buscetta,0.82519174
Adalberto Parenti,Matilde di Canossa,0.8078701
Adalberto Parenti,Prangarda di Canossa,0.7927381
Adalberto Parenti,Umberto II di Savoia,0.811833
Adamo Carulli,Giovanni Legnini,0.88620216
Adani,Daniele Adani,0.92849016
Adani,Laura Adani,0.90382886
Adani,Gautam Adani,0.7962395
Adani,Mariella Adani,0.916731
Adani,Amos Adani,0.8410359
Adani,Gabriele Adani,0.92548704
Adani,Nicola Ventola,0.86864203
Addams,Ava Addams,0.906148
Addams,Charles Addams,0.92530507
Addio Carla,Carla Gravina,0.89359665
Addio Carla,Carla Voltolina,0.8760612
Addio Carla,Carla Fracci,0.89292455
Addio Carla,Carla Capponi,0.90803057
Addio Carla,Carla Federica Nespolo,0.857358
Addio Carla,Carla Gozzi,0.90164953
Addio Carla,Carla Boni,0.90755033
Addio Carla Nespolo,Carla Federica Nespolo,0.9513192
Addio Carla Nespolo,Amino Pizzorno,0.8450512
Addio Carla Nespolo,Carlo Smuraglia,0.84661686
Addio Carlo,Carlo Campanini,0.87495965
Addio Carlo,Carlo V d'Asburgo,0.8022686
Addio Carlo,Carlo Ancelotti,0.8929841
Addio Carlo,Carlo Conti (conduttore televisivo),0.85137236
Addio Carlo,Carlo Caracciolo,0.8677341
Addio Direttore,Concita De Gregorio,0.81121016
Addio Direttore,Stefano Coletta,0.880911
Addio Direttore,Enrico Mentana,0.8572955
Addio Direttore,Vittorio Feltri,0.8363625
Addio Direttore,Carlo Conti (conduttore televisivo),0.8343644
Addio Direttore,Brenda Lodigiani,0.801775
Addio Direttore,Massimo Giannini,0.8808202
Addio Emanuele Macaluso,Emanuele Macaluso,0.9590703
Addio Emanuele Macaluso,Giuseppe Provenzano (1982),0.8320964
Addio Emanuele Macaluso,Leonardo Sciascia,0.82693034
Addio Emanuele Macaluso,Michelangelo Russo,0.86486685
Addio Emanuele Macaluso,Enrico Berlinguer,0.8606842
Addio Eugenio,Concita De Gregorio,0.81018287
Addio Eugenio,Vittorio Emanuele II di Savoia,0.8099227
Addio Eugenio,Eugenio Cefis,0.8679354
Addio Eugenio,Maria Antonietta d'Asburgo-Lorena,0.81995314
Addio Eugenio,Claudio Villa,0.88496375
Addio Ezio,Ezio Bosso,0.92390287
Addio Ezio,Ezio Sella,0.9206862
Addio Ezio,Antonio Percassi,0.8791704
Addio Ezio,Ezio Zermiani,0.8658989
Addio Ezio,Ezio Raimondi,0.9093405
Addio Ezio,Ezio Leoni,0.9105382
Addio Ezio,Lucio Presta,0.8737304
Addio Gennaro,Gennaro Gattuso,0.9185078
Addio Gennaro,Gennaro Volpe,0.9156185
Addio Gennaro,Gennaro Olivieri,0.9167129
Addio Gennaro,Salvatore Esposito (attore),0.8744651
Addio Gennaro,Guido Pancaldi,0.8291174
Addio Gerardo Bianco,Gonzalo Higuaín,0.79658794
Addio Gerardo Bianco,Giuliano Gemma,0.8633603
Addio Gerardo Bianco,Leopoldo Trieste,0.8337501
Addio Gerardo Bianco,Carlos Tévez,0.82102525
Addio Gerardo Bianco,Sophia Loren,0.8283246
Addio Gerardo Bianco,Federico Fellini,0.8418764
Addio Gerardo Bianco,Rodolfo Bianchi,0.88201004
Addio Gerardo Bianco,Moana Pozzi,0.80880284
Addio Gianni,Gianni Agus,0.89431447
Addio Gianni,Gianni Boncompagni,0.9037937
Addio Gianni,Gianni Morandi,0.91817844
Addio Gianni,Gianni Bombardi,0.90563923
Addio Gianni,Gianni Rivera,0.90560335
Addio Gianni,Concita De Gregorio,0.8010432
Addio Gigi,Gigi D'Alessio,0.85754293
Addio Gigi,Gigi Proietti,0.91421807
Addio Gigi,Gigi Marulla,0.86983734
Addio Gigi,Luigi Radice,0.8724263
Addio Gigi,Luigi Pistilli,0.76697254
Addio Gigi,Gigi Riva,0.9243478
Addio Gigi,Gigi Reder,0.83879673
Addio Gigi,Gianluigi Buffon,0.8791126
Addio Maestro,Andrea Camilleri,0.8648921
Addio Maestro,Mario D'Addio,0.85152596
Addio Maestro,Gallieno Ferri,0.81973886
Addio Maestro,Maria Antonietta d'Asburgo-Lorena,0.7890627
Addio Maestro,Claudio Villa,0.85952485
Addio Marta,Marta Fascina,0.87179494
Addio Marta,Marta Marzotto,0.8823112
Addio Marta,Gloria Radulescu,0.81104887
Addio Marta,Cristiano Ronaldo,0.83531505
Addio Marta,Marta Mason,0.9081432
Addio Marta,Marta Pagnini,0.85832816
Addio Marta,Luigi Pirandello,0.836071
Addio Marta,Gabriele D'Annunzio,0.8107536
Addio Mikhail,Michail Gorbačëv,0.83504957
Addio Mikhail,Michail Afanas'evič Bulgakov,0.7820566
Addio Mikhail,Pelé,0.89000756
Addio Mikhail,Carla Fracci,0.845261
