id,entity
b4d9fbd1bfa9f85b42607826924d68b8,Alessandra Cappellari Candidata
b4d9fbd1bfa9f85b42607826924d68b8,Giulio Gallera
b4d9fbd1bfa9f85b42607826924d68b8,Sandri
b4d9fbd1bfa9f85b42607826924d68b8,Felice
62ecfd4732d76654e372264f4933cd72,Selvaggia Lucarelli!
62ecfd4732d76654e372264f4933cd72,Giulio Romano
b4d9fbd1bfa9f85b42607826924d68b8,Pietro Chiaventi
b4d9fbd1bfa9f85b42607826924d68b8,Andrea Castelletti
b4d9fbd1bfa9f85b42607826924d68b8,Stefano Meneghelli
b4d9fbd1bfa9f85b42607826924d68b8,Matteo Biancardi
b4d9fbd1bfa9f85b42607826924d68b8,Gaia Cimolino
b4d9fbd1bfa9f85b42607826924d68b8,Paolo Boccola
b4d9fbd1bfa9f85b42607826924d68b8,Caparini
b4d9fbd1bfa9f85b42607826924d68b8,Paolo Braganza
b4d9fbd1bfa9f85b42607826924d68b8,Matteo Piloni
b4d9fbd1bfa9f85b42607826924d68b8,Noemi Doro
b4d9fbd1bfa9f85b42607826924d68b8,Felice
b4d9fbd1bfa9f85b42607826924d68b8,Pietro Chiaventi
b4d9fbd1bfa9f85b42607826924d68b8,Gaia Cimolino
b4d9fbd1bfa9f85b42607826924d68b8,Matteo Biancardi
b4d9fbd1bfa9f85b42607826924d68b8,Paolo Boccola
b4d9fbd1bfa9f85b42607826924d68b8,Andrea Castelletti
b4d9fbd1bfa9f85b42607826924d68b8,Stefano Meneghelli
62ecfd4732d76654e372264f4933cd72,Gonzaga
62ecfd4732d76654e372264f4933cd72,Andrea [POLITICIAN]
62ecfd4732d76654e372264f4933cd72,Maria Zuccati
62ecfd4732d76654e372264f4933cd72,Ostentazione
74d04bfa28fcdf090458ee8d6962f5ed,Concordo
74d04bfa28fcdf090458ee8d6962f5ed,Umberto I
74d04bfa28fcdf090458ee8d6962f5ed,Pietro
74d04bfa28fcdf090458ee8d6962f5ed,Gonzaga
74d04bfa28fcdf090458ee8d6962f5ed,Giorgio Gori
