s,o,entity
odang_person_1213938,P108,Q499911
odang_person_2414895,P1412,Q36510
odang_person_8462172,P21,Q6581097
Q1404336,label,Luigi Almirante
Q174346,label,Katie Holmes
odang_person_1205716,P166,Q96279182
Q3105233,label,Gianluca Tamberi
Q3946284,label,Salvo Basso
odang_person_5982355,P166,Q2565287
odang_person_7274444,P1412,Q652
odang_person_2778683,P19,Q220
odang_person_105712,P21,Q6581072
odang_person_5971506,P27,Q34266
odang_person_8380683,P40,Q3903764
odang_person_4881081,P166,Q14539974
Q228977,label,Martine Aubry
Q3655950,label,Annia Aurelia Galeria Faustina
odang_person_4410464,P463,Q55831605
odang_person_6002229,P40,Q75572920
odang_person_1301071,P569,1955
odang_person_4805421,P106,Q4594605
odang_person_3658806,P20,Q54619
odang_person_8361540,P3373,Q1343523
odang_person_2391423,P106,Q937857
Q192857,label,Menteng
odang_person_2398310,P106,Q2029179
odang_person_8463255,P19,Q220
odang_person_7172369,P20,Q21159691
odang_person_2398756,P166,Q14539726
odang_person_103054,P106,Q1930187
odang_person_2392284,P106,Q36834
odang_person_4810405,P106,Q10800557
odang_person_5030385,P102,Q47729
odang_person_4778577,P166,Q49802084
odang_person_3609601,P27,Q172579
odang_person_1220427,P106,Q1925963
odang_person_7182625,P26,Q2006
odang_person_3690445,P39,Q47530307
odang_person_1299476,P937,Q1210
odang_person_105014,P108,Q1161465
odang_person_7440763,P1412,Q652
odang_person_107946,P551,Q220
odang_person_1822930,P569,1792
odang_person_2403434,P19,Q3519
odang_person_109202,P106,Q15627169
odang_person_8385022,P27,Q38
odang_person_6076896,P39,Q18558478
odang_person_999,P21,Q6581097
odang_person_3585670,P21,Q6581097
Q240782,label,Harriet Taylor Mill
odang_person_2489554,P102,Q767560
odang_person_4813219,P39,Q20058666
odang_person_6008001,P166,Q3404605
Q13661,label,Iglesias
odang_person_7691292,P102,Q47750
odang_person_7800012,P102,Q47750
odang_person_2397995,P1412,Q33973
odang_person_7188912,P19,Q2656
odang_person_105074,P6886,Q652
odang_person_2430297,P21,Q6581097
odang_person_526083,P21,Q6581097
odang_person_2414997,P20,Q42966
Q3831197,label,Letty Aronson
odang_person_5971506,P569,1886
odang_person_3678981,P22,Q319350
odang_person_4778023,P39,Q34518803
odang_person_8464168,P21,Q6581072
Q6758256,label,Marcus Jordan
odang_person_3593985,P166,Q10855226
odang_person_2496212,P27,Q38
odang_person_1198301,P937,Q239
odang_person_4777899,P106,Q486748
odang_person_1199962,P25,Q3042226
odang_person_5971236,P19,Q68301
odang_person_27117,P21,Q6581097
odang_person_2391423,P21,Q6581097
odang_person_5977795,P106,Q482980
odang_person_76461,P166,Q24928594
odang_person_7165053,P551,Q96
odang_person_8368324,P166,Q935843
odang_person_3584674,P40,Q23930960
odang_person_45979,P102,Q327591
odang_person_8368459,P937,Q220
odang_person_6254560,P27,Q172579
odang_person_3694522,P1412,Q652
odang_person_1204385,P27,Q79
Q12144794,label,prosatore
Q17769800,label,mercante di schiavi
odang_person_4778949,P166,Q1596352
odang_person_2498204,P21,Q6581097
odang_person_4777868,P39,Q20056508
odang_person_2920788,P106,Q82955
Q3838188,label,Luca Marinelli
odang_person_2391823,P166,Q6967724
odang_person_4902458,P551,Q64
odang_person_5981932,P39,Q20766109
odang_person_2398818,P21,Q6581097
odang_person_3640615,P106,Q1622272
odang_person_7167666,P166,Q181883
odang_person_3585801,P1412,Q150
Q233067,label,Salome
odang_person_7172523,P103,Q1860
odang_person_7172744,P22,Q299663
odang_person_7273607,P27,Q38
odang_person_2392381,P106,Q33999
odang_person_59271,P39,Q1538785
odang_person_7165111,P166,Q17985761
odang_person_305,P103,Q150
odang_person_7200101,P1412,Q652
odang_person_105014,P108,Q368151
odang_person_4,P166,Q94405
odang_person_2402622,P27,Q38
odang_person_8375021,P3373,Q12223794
odang_person_4792255,P40,Q3838282
odang_person_8465029,P103,Q652
odang_person_103310,P106,Q81096
odang_person_3596519,P102,Q1126102
odang_person_86468,P103,Q150
odang_person_8465580,P19,Q2044
odang_person_1199571,P6886,Q652
Q1755236,label,Forum Civico
odang_person_3607637,P106,Q2526255
odang_person_7171802,P40,Q10357078
odang_person_5971114,P106,Q1028181
Q1374265,label,European Radio for Belarus
Q25223,label,Presidente federale
odang_person_2485700,P1412,Q652
odang_person_2492823,P27,Q38
odang_person_15964,P106,Q36834
odang_person_1212663,P22,Q3932717
Q181733,label,Guardia pretoriana
odang_person_8361294,P166,Q928314
odang_person_24,P39,Q56543065
odang_person_3665396,P19,Q42784
odang_person_6016923,P166,Q7349636
odang_person_5982258,P3373,Q3697482
Q3659952,label,Carlo Vidusso
odang_person_5194078,P19,Q628
odang_person_6013779,P39,Q18558478
odang_person_8399567,P937,Q6602
odang_person_9327,P166,Q152770
Q191115,label,Albano Laziale
Q17324,label,Castellania Coppi
odang_person_7210662,P1412,Q1860
odang_person_5982251,P39,Q6501749
odang_person_5971050,P106,Q482980
odang_person_37784,P569,1961
odang_person_4778390,P106,Q937857
odang_person_6076679,P27,Q38
Q2634074,label,medaglia commemorativa per l'800º anniversario di Mosca
odang_person_7755221,P19,Q3883
odang_person_7165814,P103,Q652
odang_person_1205716,P106,Q82955
odang_person_8391806,P569,1752
Q104074,label,Concesio
odang_person_1720775,P27,Q38
odang_person_2492592,P19,Q1891
odang_person_4851979,P937,Q220
odang_person_2499903,P27,Q38
odang_person_2392496,P102,Q210703
Q25076,label,Gattinara
odang_person_2485700,P106,Q177220
odang_person_8708896,P166,Q840941
odang_person_6078492,P39,Q13653224
odang_person_366872,P19,Q491440
Q5146,label,portoghese
odang_person_3594850,P937,Q1748
odang_person_8696840,P1412,Q652
odang_person_8373230,P106,Q28389
odang_person_8528659,P106,Q947873
odang_person_2392287,P22,Q85622497
odang_person_3603133,P106,Q13381863
odang_person_8361107,P166,Q182529
odang_person_9189,P569,1969
odang_person_4851979,P19,Q641
odang_person_102227,P569,1948
odang_person_6080491,P21,Q6581097
odang_person_4778023,P166,Q3885253
odang_person_2411414,P1412,Q750553
odang_person_2405413,P106,Q831474
odang_person_1204170,P166,Q43305900
odang_person_6297457,P27,Q38
odang_person_8468049,P6886,Q652
odang_person_6838,P102,Q29552
odang_person_2492937,P1412,Q652
odang_person_3691457,P106,Q937857
odang_person_2429818,P106,Q28389
odang_person_2391430,P106,Q49757
odang_person_8368203,P1412,Q652
odang_person_1275138,P20,Q1903
odang_person_1198456,P106,Q937857
odang_person_2500513,P19,Q1465
odang_person_4880586,P106,Q2095549
odang_person_5982621,P569,1953
odang_person_4778355,P166,Q23700921
odang_person_4785124,P106,Q161850
odang_person_1200104,P103,Q652
odang_person_1299,P569,1937
odang_person_3602245,P937,Q6602
odang_person_4777859,P20,Q138518
odang_person_5061958,P103,Q652
odang_person_8381596,P166,Q85764095
odang_person_1261467,P27,Q38
odang_person_188310,P19,Q372290
odang_person_1197505,P22,Q7729
odang_person_4778390,P21,Q6581097
odang_person_1198353,P166,Q21029702
Q141336,label,Mosfil'm
odang_person_749,P39,Q48629921
odang_person_1204745,P27,Q29
odang_person_3585549,P39,Q65494714
odang_person_1225777,P27,Q38
odang_person_27633,P106,Q44508716
odang_person_1596455,P106,Q177220
odang_person_6306961,P106,Q4610556
odang_person_2594097,P27,Q30
odang_person_2391560,P166,Q6565314
Q52655,label,Ruvo del Monte
odang_person_286068,P103,Q652
odang_person_2756,P2632,Q5440156
odang_person_1231562,P106,Q4610556
odang_person_7176979,P106,Q212948
odang_person_2753874,P27,Q38
odang_person_4784457,P27,Q38
odang_person_292736,P106,Q82955
odang_person_6076896,P103,Q652
odang_person_8462172,P108,Q209344
odang_person_1487586,P106,Q738142
odang_person_7270422,P21,Q6581097
Q24702372,label,sindaco di Torino
Q12223794,label,Abd al-Muhsin bin Abd al-Aziz Al Sa'ud
odang_person_4884472,P1412,Q652
odang_person_105673,P19,Q1891
Q269392,label,Hiltrude
odang_person_3585549,P463,Q10860383
Q22116733,label,Josepha Schicklgruber
odang_person_7273610,P106,Q947873
odang_person_4862184,P3373,Q1390537
odang_person_4793975,P39,Q27169
Q3839753,label,Luigi Impastato
odang_person_16080,P21,Q6581072
odang_person_107689,P21,Q6581097
odang_person_4880797,P106,Q82955
odang_person_1218595,P26,Q15094575
odang_person_8362136,P106,Q201788
odang_person_7188382,P3373,Q3751633
odang_person_2500342,P21,Q6581097
odang_person_3640615,P21,Q6581097
odang_person_8369186,P166,Q28481165
odang_person_5978785,P166,Q10905380
odang_person_1795724,P39,Q80368636
odang_person_4799040,P20,Q220
Q47750,label,Lega Nord
Q3551686,label,Università di Tunisi
Q193180,label,Kajaani
odang_person_275799,P27,Q38
odang_person_1301795,P463,Q2326007
odang_person_784,P106,Q49757
odang_person_41866,P1412,Q652
odang_person_3687126,P1412,Q652
odang_person_4883100,P27,Q172579
odang_person_22,P463,Q463303
odang_person_6076679,P937,Q239
odang_person_4810724,P106,Q855091
odang_person_2405671,P19,Q220
odang_person_8399611,P106,Q2405480
odang_person_1223483,P569,1959
odang_person_8360993,P569,1927
odang_person_1199571,P106,Q4263842
odang_person_3606059,P106,Q483501
odang_person_4885092,P1412,Q652
Q1441340,label,Nehru-Gandhi
odang_person_1198059,P27,Q3185305
odang_person_26006,P106,Q937857
odang_person_7175493,P569,1908
odang_person_8371231,P106,Q177220
odang_person_6407103,P103,Q652
odang_person_4777860,P19,Q80008
odang_person_4790302,P106,Q43845
odang_person_6068122,P19,Q220
