id,mention,wp_title,ratio,ranking
Q1430,Marco Va…,Marco Aurelio,0.5454545454545454,0
Q234866,Marco Va…,Marco Amelia,0.6666666666666666,2
Q152377,Marco Va…,Marco Reus,0.631578947368421,3
Q1317738,Marco Va…,Marco Baroni (allenatore),0.4117647058823529,4
Q6757717,Marco Va…,Marco Silvestri,0.5,6
Q31966,Marco Va…,Marco (evangelista),0.5,7
Q185081,Marco Va…,Marco Materazzi,0.5833333333333334,8
Q615016,Marco Va…,Marco Travaglio,0.5833333333333334,9
Q453075,Saverio Costanzo,Saverio Costanzo,1.0,0
Q3750609,Saverio Costanzo,Francesco Saverio Costanzo,0.7619047619047619,1
Q433601,Saverio Costanzo,Alba Rohrwacher,0.1935483870967742,3
Q377198,Saverio Costanzo,Giulia Michelini,0.25,4
Q1911638,Saverio Costanzo,Maurizio Costanzo,0.7878787878787878,6
Q3619899,Saverio Costanzo,Antonio Milo (attore),0.32432432432432434,9
Q3697462,Cristiano Malgioglio,Cristiano Malgioglio,1.0,0
Q234771,Cristiano Malgioglio,Iva Zanicchi,0.25,8
Q3950261,Sara Di Vaira,Sara Di Vaira,1.0,0
Q3695609,Sara Di Vaira,Costantino della Gherardesca,0.14634146341463414,3
Q273073,Sara Di Vaira,Milly Carlucci,0.2222222222222222,7
Q471344,Riccardo Cocciante,Riccardo Cocciante,1.0,0
Q34417,Filippo,Filippo II di Spagna,0.5185185185185185,1
Q332632,Filippo,Eduardo De Filippo,0.56,2
Q80976,Filippo,Filippo di Edimburgo,0.5185185185185185,3
Q130969,Filippo,Filippo IV di Francia,0.5,4
Q170467,Filippo,Filippo V di Spagna,0.5384615384615384,5
Q691402,Filippo,Filippo IV di Spagna,0.5185185185185185,6
Q217791,Filippo,Filippo Neri,0.7368421052631579,7
Q157098,Filippo,Filippo I d'Asburgo,0.5384615384615384,8
Q296555,Filippo,Filippo I di Borbone-Orléans,0.4,9
Q3845249,Mara Maionchi,Mara Maionchi,1.0,0
Q41458912,Mara Maionchi,Enrico Nigiotti,0.35714285714285715,6
Q1058124,Mara Maionchi,Elio (cantante),0.21428571428571427,8
Q2424461,AHAHAH,Molella,0.0,2
Q1423,Domiziano,Domiziano,1.0,0
Q5291255,Domiziano,Domiziano Arcangeli,0.6428571428571429,1
Q291866,Domiziano,Domiziana Giordano,0.6666666666666666,5
Q1425,Domiziano,Traiano,0.5,6
Q3771620,Beppe Vessicchio,Giuseppe Vessicchio,0.8571428571428571,0
Q3838238,Beppe Vessicchio,Luca Pitteri,0.14285714285714285,2
Q468789,Beppe Vessicchio,Sergio Endrigo,0.2,5
Q208050,Leo #Bonucci,Leonardo Bonucci,0.7857142857142857,0
Q691515,Leo #Bonucci,Vittorio Caprioli,0.27586206896551724,1
Q696055,Leo #Bonucci,Gastone Moschin,0.2962962962962963,4
Q78739,Leo #Bonucci,Leo Spitzer,0.43478260869565216,6
Q42731,Leo #Bonucci,Fernando Torres,0.2962962962962963,8
Q26580,Leo #Bonucci,Antonio Conte,0.32,9
Q3646668,Bugo,Bugo,1.0,0
Q455945,Bugo,Violante Placido,0.1,4
Q19365890,Bugo,Ermal Meta,0.0,6
Q3862964,Bugo,Morgan (cantante),0.09523809523809523,8
Q56695853,Teresa Buonocore,Teresa Buonocore,1.0,0
Q1122319,Teresa Buonocore,Agostino Marangolo,0.23529411764705882,4
Q20140227,Teresa Buonocore,Vincenzo Buonocore,0.6470588235294118,6
Q177854,LORENZO DE MEDICI,Lorenzo de' Medici,0.22857142857142856,0
Q49237,LORENZO DE MEDICI,Papa Leone X,0.13793103448275862,1
