mention,wp_title,cosine
#domenicain,Massimo Germini,0.79781926
#domenicain,Sergio Barlozzi,0.7738384
2Cellos,Stjepan Hauser,0.80497915
2Cellos,Luka Šulić,0.8168635
2Cellos,Zucchero Fornaciari,0.8812587
@user Concordo,Richard Stallman,0.6114703
@user Concordo,Ramses II,0.63258827
@user Eccellente,Patch Adams,0.6090768
@user Eccellente,Ezio Bosso,0.6196377
@user Grandiosi,Ramses II,0.6253966
@user Lory,Cristina Bugatty,0.6162276
@user Luca,Massimo Ferrero,0.62865186
@user Luca,Luca Flores,0.640627
@user Luca,Luca Spagnoletti,0.6378921
@user Male,Cesarino Fava,0.6242595
@user Male,Stevie Wonder,0.64656067
@user Manca,Giulia Bongiorno,0.64485866
@user Pronti,Marco Balzano,0.6192635
@user Pronti,Mark Zuckerberg,0.6495613
@user Pronti,George Soros,0.63572764
@user Salvini,George Soros,0.62628484
@user Salvini,Giulia Bongiorno,0.64153445
@user Vanessa,Austin Butler,0.62744963
@user Vanessa,Massimo Ferrero,0.6198477
@user Vanessa,Giulia Bongiorno,0.63738424
@user Vanessa,Marco Balzano,0.60837895
AHAHAH,Molella,0.830968
ALBERTO ANGELA,Alberto Angela,0.9999999
ALBERTO ANGELA,Piero Angela,0.9666152
ALBERTO ANGELA,Carlo Angela,0.9724669
ALBERTO ANGELA,Angela Finocchiaro,0.9238851
ALBERTO ANGELA,Giusy Buscemi,0.84898055
ALBERTO ANGELA,Angela Lansbury,0.9272491
ALBERTO ANGELA,Alberto Fernández (politico),0.871704
ALESSANDRO,Alessandro Magno,0.91291296
ALESSANDRO,Alessandro Cattelan,0.9066166
ALESSANDRO,Alessandro Borghi (attore),0.8521212
ALESSANDRO,Alessandro Severo,0.92792064
ALESSANDRO,Alessandro Barbero,0.910316
ALTISSIMO,Renato Altissimo,0.916217
ARISA,Arisa,1.0000002
AVANTI SAVOIA,Vittorio Emanuele II di Savoia,0.83540475
AVANTI SAVOIA,Vittorio Emanuele di Savoia (1937),0.8451224
AVANTI SAVOIA,Umberto I di Savoia,0.85139364
AVANTI SAVOIA,Vittorio Emanuele III di Savoia,0.82789654
AVANTI SAVOIA,Umberto II di Savoia,0.854623
AVANTI SAVOIA,Maria José del Belgio,0.81093585
Achille,Achille Occhetto,0.92190945
Achille,Achille Lauro (cantante),0.8682091
Achille,Papa Pio XI,0.7724603
Achille,Achille Lauro,0.90713155
Achille,Achille Togliani,0.89301455
Achille,Achille Starace,0.9308011
Achille,Achille Campanile,0.93694055
Achille #Lauro,Achille Lauro,0.9354037
Achille #Lauro,Achille Lauro (cantante),0.95211864
Achille Lauro,Achille Lauro,1.0000001
Achille Lauro,Achille Lauro (cantante),0.91326773
Achille Lauro #Sanremo2020,Achille Lauro (cantante),0.96873546
Achille Lauro triggera,Stefano Sibaldi,0.7972046
Achille Lauro...,Achille Lauro,0.89960706
Achille Lauro...,Achille Lauro (cantante),0.9598919
Achille Lauro”  LUCIANA VOCE DEL,Lauro Gazzolo,0.854808
Achille Lauro”  LUCIANA VOCE DEL,Anna Maria Bernini,0.8596674
Achille Lauro”  LUCIANA VOCE DEL,Angelo Pellegrino,0.83759934
Achille?,Achille Occhetto,0.88176453
Achille?,Achille Lauro (cantante),0.8417858
Achille?,Papa Pio XI,0.77290356
Achille?,Achille Lauro,0.8697202
Achille?,Achille Togliani,0.85130024
Achille?,Achille Starace,0.8943668
Achille?,Achille Campanile,0.89536846
AchilleLauro #Sanremo2020 #,Achille Lauro (cantante),0.9164218
AchilleLauro #Sanremo2020 #,Anna Tatangelo,0.82678974
AchilleLauro #Sanremo2020 #,Arisa,0.8221887
AchilleLauroExpress,Achille Lauro (cantante),0.81449115
AchilleLauroExpress,Marracash,0.779101
AchilleLauroExpress,Lee Grant,0.7593813
AchilleLauroExpress #PechinoExpress,Achille Lauro (cantante),0.86238825
AchilleLauroExpress #PechinoExpress,Valerio Scanu,0.8142617
AchilleLauroExpress #PechinoExpress,Stefano Sibaldi,0.80035317
Adoro Facchinetti,Francesco Facchinetti,0.91997117
Adoro Facchinetti,Luca Tommassini,0.8778312
Adoro Facchinetti,Cassandra Raffaele,0.85415393
Adriano,Adriano,1.0
Adriano,Luiz Adriano,0.9325419
Adriano,Adriano Celentano,0.90814745
Adriano,Papa Adriano VI,0.8533602
Adriano,Adriano Olivetti,0.92572534
Adriano,Adriano Leite Ribeiro,0.8443663
Adriano,Adriano Sofri,0.9175334
Adriano,Adriano Giannini,0.91925263
Agnelli,Gianni Agnelli,0.9355539
Agnelli,Umberto Agnelli,0.9369217
Agnelli,Edoardo Agnelli (1954),0.8704368
Agnelli,Giovanni Alberto Agnelli,0.8700376
Agnelli,Manuel Agnelli,0.9356644
Agnelli,Andrea Agnelli,0.93660563
Agnelli,Maria Sole Agnelli,0.8921108
Agnelli,Susanna Agnelli,0.929471
Agostino,Agostino d'Ippona,0.875977
Agostino,Agostino Di Bartolomei,0.80198705
Agostino,Agostino Viviani,0.92835486
Agostino,Agostino Depretis,0.8712243
Agostino,Antonino Agostino,0.93682736
Agostino,Agostino Renna,0.93119115
Agostino,Agostino Catalano,0.92293316
Agostino Penna,Agostino Penna,0.9999999
Agostino Penna,Giorgio Panariello,0.83698887
Agostino Penna,Christian De Sica,0.8280935
Agostino Penna,Carlo Conti (conduttore televisivo),0.83259356
Agostino Penna,Loretta Goggi,0.86818564
Agostino Penna,Claudio Lippi,0.8774169
Agostino Penna,Serena Rossi,0.870131
Agostino Penna,Serena Autieri,0.877084
Ahahah,Molella,0.830968
Ahmet Altan,Ahmet Altan,1.0000002
Ahmet Altan,Erri De Luca,0.7916013
Ahmet Altan,Ian McEwan,0.7960394
Ahmet Altan,Amos Oz,0.78226477
Ahmet Altan,Sandro Veronesi,0.8044947
Ahmet Altan,Javier Marías,0.7958519
Ahmet Altan,Joyce Carol Oates,0.7857087
Aiutate Orietta,Sandra Milo,0.82178456
Aiutate Orietta,Paolo Villaggio,0.81202
Aiutate Orietta,Patty Pravo,0.75967515
Al Bano,Al Bano,1.0000002
Al Bano,Romina Power,0.9106117
Al Bano,Ylenia Carrisi,0.88517267
Albanese Malika Ayane,Serena Dandini,0.80867267
Albanese Malika Ayane,Brunori Sas,0.7867134
Albanese Malika Ayane,Enrico Ruggeri,0.79225385
Albanese Malika Ayane,Marco Salom,0.78335917
Albano,Al Bano,0.90317506
Albano,Albano Canazza,0.87717855
Albano,Lucia Albano,0.93282235
Albano,Lou Albano,0.90759206
Albert,Albert DeSalvo,0.8841465
Albert,Albert Einstein,0.9067601
Albert,Albert Camus,0.92079437
Albert,Albert Kesselring,0.8538294
Albert,Albert Guðmundsson (calciatore 1997),0.8373376
Albert,Albert Schweitzer,0.90725076
Albert Einstein,Albert Einstein,1.0000001
Albert Einstein,Hans Albert Einstein,0.96102
Albert Einstein,Mileva Marić,0.80552775
Albert Einstein,Elsa Einstein,0.9455469
Albert Einstein,Hermann Einstein,0.97560894
Alberto,Carlo Alberto di Savoia,0.8470614
Alberto,Alberto Magno,0.93281424
Alberto,Alberto Sordi,0.91311365
Alberto,Alberto Tomba,0.9417536
Alberto,Giovanni Alberto Agnelli,0.8631736
Alberto,Alberto Paloschi,0.9337752
Alberto,Alberto IV degli Alberti,0.87401307
Alberto,Alberto Pérez,0.9311403
Alberto #Angela,Alberto Angela,0.9361551
Alberto #Angela,Piero Angela,0.9056483
Alberto #Angela,Carlo Angela,0.91826326
Alberto #Angela,Angela Finocchiaro,0.87143666
Alberto #Angela,Giusy Buscemi,0.82561284
Alberto #Angela,Angela Lansbury,0.87034523
Alberto #Ulisse #MoonDay h…,Renato Carosone,0.7580604
Alberto Angela,Alberto Angela,0.9999999
Alberto Angela,Piero Angela,0.9666152
Alberto Angela,Carlo Angela,0.9724669
Alberto Angela,Angela Finocchiaro,0.9238851
Alberto Angela,Giusy Buscemi,0.84898055
Alberto Angela,Alberto Fernández (politico),0.871704
Alberto Angela #Meraviglie,Alberto Angela,0.9328102
Alberto Angela #Meraviglie,Piero Angela,0.91252357
Alberto Angela #Meraviglie,Alberto Sordi,0.87997144
Alberto Angela #Meraviglie,Angela Goodwin,0.84403014
Alberto Angela ❤️ #Meraviglie,Céline Dion,0.75896287
Alberto Urso,Alberto Urso,1.0000005
Alberto Urso,Giordana Angi,0.8789851
Alberto Urso,Diana Del Bufalo,0.80650085
Alberto Urso,Sangiovanni (cantante),0.8294291
Alberto/Piero Angela,Piero Angela,0.9427309
Alberto/Piero Angela,Alberto Angela,0.94700277
Alberto/Piero Angela,Carlo Angela,0.93748677
Alberto/Piero Angela,Piero Piccioni,0.8960559
Alberto/Piero Angela,Alessandro Del Piero,0.8837199
Alberto/Piero Angela,Alberto Sordi,0.891795
Alberto/Piero Angela,Piero Chiara,0.9198737
AlbertoAngela,Alberto Angela,0.9541218
AlbertoAngela,Piero Angela,0.9103642
AlbertoAngela,Carlo Angela,0.92831993
AlbertoAngela,Nino D'Angelo,0.8135841
AlbertoAngela,Alberto Fernández (politico),0.8734673
AlbertoAngela,Alberto Tomba,0.9452697
AlbertoAngela,Pedro Pascal,0.85892266
AlbertoAngela,Giusy Buscemi,0.8496379
Albertone,Matteo Albertone,0.9056709
Albertone,Ludovica Albertoni,0.8279976
Albertone,Giuseppe Arimondi,0.828761
Albertone,Vittorio Dabormida,0.7938189
Albertone,Alberto Sordi,0.87453634
Aldrin,Buzz Aldrin,0.96671796
Aldrin,Neil Armstrong,0.79269093
Aldrin,Michael Collins (astronauta),0.78634787
Aldrin,Alyson Hannigan,0.81487036
Alessandra,Alessandra Mussolini,0.9347632
Alessandra,Alessandra Mastronardi,0.92344654
Alessandra,Alessandra Amoroso,0.9280925
