id,entity
04b19fcefed25f6919fbbb8fe6ac4f1e,Ulisse INIZIA ORA
6320e808285b5e1613dbd28580affd21,Maestra
913743b451b8178fa138c7b27f26fac6,Cecchini
a759ed87206806cfcfd9be7ea36abfb3,Appunto Maurizio
0900b3ecb22c05b8815d046228165ec2,Ulisse
46e134f4ebbefefe2f939c9c380a28b6,Piero
46e134f4ebbefefe2f939c9c380a28b6,Alberto Angela
ec4f4f1514c51b385f72ef7251a1aadf,Lino
abc99d416b15fd21e4a4b65025b092c1,Sandro
99c74cf669111e82e06bee97b8ec2281,Mahmood
b720b083caac3d8e75ecca6d7c1fa15f,Luxuria
c8474b3777f72a73e2547b9db8fa7780,Claudio
c8474b3777f72a73e2547b9db8fa7780,Sanremo2019 https://t.co/FIPSpMgGlY
13fe4b4a1d23cb65233c4b55b1fa091b,Baglioni
3ba82abefe8b9ec4928b2e6db55e0a49,🔴 Alberto Angela
3ba82abefe8b9ec4928b2e6db55e0a49,CataniaUpLive https://t.co/w82q4dWc26
a5c2914548b5b044e286d8f5283df5a2,LaPortaRossa2 @user
7cdd649b91d4a6efff90bc3bdba111f2,Irama
3edbcef760e06df0f156b95a0cd9ab99,Neil Armstrong
dd4b537419536c380c31e069859b34e6,️⚰️⚰️⚰️⚰️⚰️ #Sanremo2020
1cc8c03f538bc07078c6330d01821fe2,Anastasio
1cc8c03f538bc07078c6330d01821fe2,Fibra
7f36c704116619e188f41b48706a35ff,Carrisi
215924806fefa58ae26cc8ca16b2241d,Fabrizio Moro
a7bd01819faee922f338231b47ee55de,Riki
3037717da5c0f2fd3cf8811fbe920db2,Antonio Logli
259ccc9a92f7cb2c03818ef5fa9fc330,Simonetta Vespucci
d097e8c0e5005d3f880664cbbc800747,Piero De' Medici
28681464085f4559733acbc1d277e753,Fabrizio
4da14970ed2d4b22b393824a9b0afcf2,Antonellina
8226017425d1d7501ceb295697f40742,Lucarelli
6625f006ed68926414b319bb9498b34b,Medici
85ed67720882ac7f334a41b2a0d381a3,LiBerté
