id,mention,wp_title,ratio,ranking,name,gender,to_filter,cosine,avg
Q453075,Saverio Costanzo,Saverio Costanzo,1.0,1.0,,,,0.99999976,0.99999992
Q3697462,Cristiano Malgioglio,Cristiano Malgioglio,1.0,1.0,,,,0.99999964,0.99999988
Q3950261,Sara Di Vaira,Sara Di Vaira,1.0,1.0,,,,0.9999999,0.9999999666666667
Q471344,Riccardo Cocciante,Riccardo Cocciante,1.0,1.0,,,,0.99999994,0.99999998
Q3845249,Mara Maionchi,Mara Maionchi,1.0,1.0,,,,0.9999999,0.9999999666666667
Q3771620,Beppe Vessicchio,Giuseppe Vessicchio,0.8571428571428571,1.0,,,,0.9451863,0.9341097190476191
Q208050,Leo #Bonucci,Leonardo Bonucci,0.7857142857142857,1.0,,,,0.88282657,0.8895136185714284
Q3646668,Bugo,Bugo,1.0,1.0,,,,1.0000001,1.0000000333333334
Q56695853,Teresa Buonocore,Teresa Buonocore,1.0,1.0,,,,0.9999995,0.9999998333333333
Q3846481,Marco Senise,Marco Senise,1.0,1.0,,,,1.0000002,1.0000000666666666
Q558822,Muccino,Gabriele Muccino,0.6086956521739131,1.0,,,,0.9465902,0.8517619507246378
Q17405683,Angela #Meraviglie,Angelo Meraviglia,0.8571428571428571,0.6666666666666667,,,,0.8792105,0.8010066746031747
Q27662498,Leotta,Diletta Leotta,0.6,1.0,,,,0.9125631,0.8375210333333333
Q1044154,Nino D’Angelo,Nino D'Angelo,0.9230769230769232,1.0,,,,0.9999999,0.9743589410256411
Q514695,Alberto Angela,Alberto Angela,1.0,1.0,,,,0.9999999,0.9999999666666667
Q237446,Martini,Mia Martini,0.7777777777777778,0.8888888888888888,,,,0.93033993,0.8656688655555556
Q372073,Gigi Cooper,Jackie Cooper,0.6666666666666666,0.8888888888888888,,,,0.94911003,0.8348885285185185
Q1041211,Bucci,Flavio Bucci,0.5882352941176471,1.0,,,,0.90064156,0.8296256180392158
Q275970,Eleonora Duse,Eleonora Duse,1.0,1.0,,,,1.0000001,1.0000000333333334
Q762,Leonardo Sala,Leonardo da Vinci,0.6666666666666666,1.0,,,,0.89056545,0.8524107055555555
Q3808635,Bastianich,Joe Bastianich,0.8333333333333334,1.0,,,,0.95202523,0.9284528544444445
