s,o,entity
odang_person_7164960,P1038,Q22116705
odang_person_4783641,P39,Q19546
odang_person_7172744,P119,Q1357573
Q47768,label,Italia dei Valori
odang_person_4777856,P3373,Q2509381
odang_person_2455,P40,Q28951010
Q3655950,label,Annia Aurelia Galeria Faustina
odang_person_3585482,P106,Q5784340
Q6092845,label,ministro delle infrastrutture e dei trasporti della Repubblica Italiana
Q3779233,label,Guido Cirilli
Q88665,label,Hermann Einstein
odang_person_3594250,P569,1986
odang_person_7449105,P106,Q82955
odang_person_4778921,P1412,Q188
Q2259532,label,chierico
Q37320,label,Cleveland
Q170972,label,Partito Socialista
odang_person_5305938,P463,Q19606517
Q1453643,label,Grammy Award al miglior artista esordiente
odang_person_8379218,P19,Q13410
odang_person_2780282,P39,Q18558478
odang_person_4778023,P39,Q34518803
odang_person_5979230,P102,Q9630
Q89422,label,Guglielmo Alberto di Montenuovo
Q4011164,label,vicepresidente del Consiglio dei ministri della Repubblica Italiana
Q652,label,italiano
odang_person_2391436,P166,Q17144
odang_person_4782803,P551,Q220
odang_person_8361107,P1038,Q56166653
odang_person_8368324,P166,Q935843
odang_person_4778023,P166,Q14900501
odang_person_8368459,P937,Q220
Q182529,label,Giocatore dell'anno FIFA
Q17231624,label,legionario della Legion of Merit
odang_person_7165093,P166,Q4335906
Q14420,label,Ordine dell'Impero Britannico
Q12144794,label,prosatore
odang_person_3614120,P21,Q6581097
odang_person_7168729,P27,Q142
odang_person_7167666,P106,Q2405480
odang_person_7164960,P26,Q76433
odang_person_4885616,P27,Q38
odang_person_3585484,P39,Q796897
odang_person_5970876,P1066,Q317427
odang_person_1207330,P106,Q488205
odang_person_7165093,P1412,Q1860
odang_person_84797,P166,Q10855226
odang_person_7183231,P19,Q1854
odang_person_7167666,P166,Q181883
odang_person_4821773,P27,Q38
Q500251,label,armatore
odang_person_8366960,P106,Q488205
odang_person_7172744,P22,Q299663
odang_person_4887670,P21,Q6581097
odang_person_3591787,P3373,Q4605238
odang_person_4857128,P20,Q2044
Q435955,label,Maria Carolina d'Asburgo-Lorena
odang_person_7200101,P1412,Q652
odang_person_5970876,P106,Q10800557
odang_person_5978238,P937,Q2634
odang_person_8360933,P40,Q105944461
odang_person_8898,P22,Q51825884
odang_person_363,P106,Q1053574
Q895188,label,Borbone di Napoli
odang_person_6078719,P19,Q220
odang_person_4790404,P1412,Q652
odang_person_7165708,P21,Q6581097
Q932281,label,European Film Awards per il miglior attore
odang_person_7168729,P166,Q2902709
odang_person_3688389,P106,Q36834
odang_person_8395364,P106,Q36180
odang_person_5984384,P1412,Q652
odang_person_8468012,P21,Q6581097
Q81180,label,Grammy Hall of Fame Award
Q72654,label,Magnus von Braun
odang_person_5984483,P1038,Q2464997
odang_person_7164960,P1412,Q188
odang_person_1257647,P569,1963
odang_person_7176847,P1412,Q1321
odang_person_8395159,P1412,Q652
odang_person_3627259,P569,1965
odang_person_5163937,P1412,Q652
Q621867,label,Giocatore dell'anno della PFA
odang_person_7164969,P1066,Q183458
odang_person_1200047,P569,1501
