id,mention,wp_title,ratio,ranking,name,gender,to_filter,cosine,avg
Q47602,DAlema,Massimo D'Alema,0.571428571428571,1.0,,,,0.8406406,0.8040230571428569
Q2855108,Minetti,Annalisa Minetti,0.608695652173913,1.0,,,,0.9280497,0.845581784057971
Q3851022,Fedriga,Massimiliano Fedriga,0.518518518518518,1.0,,,,0.9016987,0.806739072839506
Q2577379,Orban,Willi Orban,625.0,0.7777777777777778,,,,0.91903305,208.89893694259263
Q334684,Signori,Giuseppe Signori,0.608695652173913,0.8888888888888888,Signori,male,,0.9433098,0.813631447020934
Q11239,Rockefeller,David Rockefeller,0.785714285714286,0.7777777777777778,,,,0.9298866,0.8311262211640212
Q3723207,Belloni,Elisabetta Belloni,0.56,1.0,,,,0.9366783,0.8322261000000001
Q294460,Draghi #,Mario Draghi,0.6,1.0,,,,0.88906944,0.8296898133333334
Q24043598,Di Martino,Marianna Di Martino,0.689655172413793,0.8888888888888888,,,,0.93006116,0.8362017404342273
Q6789694,politano,Matteo Politano,0.608695652173913,1.0,,,,0.9404543,0.8497166507246376
Q551188,Buttiglione,Rocco Buttiglione,0.785714285714286,1.0,,,,0.8963823,0.8940321952380953
Q186478,Luca #,Luca Toni,0.666666666666667,0.8888888888888888,,,,0.9301267,0.828560751851852
Q62018949,Cucchi,Ilaria Cucchi,0.631578947368421,0.8888888888888888,,,,0.94727814,0.82258199208577
Q7317,Verdi,Giuseppe Verdi,0.526315789473684,1.0,,,,0.9330237,0.8197798298245614
Q948553,Feltri,Vittorio Feltri,0.571428571428571,1.0,,,,0.9404916,0.8373067238095236
Q3938696,Cingolani,Roberto Cingolani,0.692307692307692,1.0,,,,0.93376756,0.8753584174358974
Q15976266,Nardella,Dario Nardella,0.727272727272727,1.0,,,,0.95045066,0.8925744624242423
Q21541741,Massimo &amp,Massimo Carminati,0.689655172413793,1.0,,,,0.908706,0.8661203908045977
Q14626579,Marco Spissu,Marco Spissu,1.0,1.0,,,,1.0,1.0
Q239002,Ornella Vanoni,Ornella Vanoni,1.0,1.0,,,,0.99999976,0.99999992
Q1245735,Cipriani,Francesca Cipriani,0.615384615384615,1.0,Cipriani,male,,0.9207968,0.845393805128205
Q1522083,Giacomo Caliendo,Giacomo Caliendo,1.0,1.0,,,,1.0000004,1.0000001333333335
Q982793,PeppinoImpastato,Peppino Impastato,0.96969696969697,1.0,,,,0.87308615,0.9475943732323233
Q2246855,Paolo Cirino Pomicino,Paolo Cirino Pomicino,1.0,1.0,,,,0.99999976,0.99999992
Q140575,Hawass,Zahi Hawass,0.705882352941176,1.0,,,,0.9406446,0.882175650980392
Q1055449,Letta #Salvini,Matteo Salvini,0.714285714285714,1.0,,,,0.8798627,0.864716138095238
Q27299929,Rosato,Rosato Rosati (architetto),375.0,0.33333333333333337,,,,0.8598944,125.39774257777776
Q50002,Letta #Bonino,Emma Bonino,0.666666666666667,1.0,,,,0.87090147,0.8458560455555556
Q8023,Mandela,Nelson Mandela,0.666666666666667,1.0,Mandela,male,,0.9516826,0.8727830888888889
Q659163,Dice Giorgetti,Giancarlo Giorgetti,0.727272727272727,1.0,,,,0.8889073,0.8720600090909091
Q3852721,Sarri,Maurizio Sarri,0.526315789473684,1.0,,,,0.9272473,0.8178543631578946
Q312302,Giovanni Falcone,Paolo Borsellino,125.0,0.33333333333333337,,,,0.95021224,42.09451519111111
Q313717,Bonomi,Ivanoe Bonomi,0.631578947368421,1.0,,,,0.8580756,0.829884849122807
Q3858794,Viola,Mirca Viola,625.0,0.2222222222222222,Viola,female,,0.87361,208.69861074074072
Q207073,Falcone,Giovanni Falcone,0.608695652173913,1.0,Falcone,male,,0.9339446,0.8475467507246378
Q1116895,Bonetti,Massimo Bonetti,0.636363636363636,1.0,,,,0.90718746,0.8478503654545454
Q1071031,Gentiloni,Paolo Gentiloni,0.75,1.0,,,,0.93137324,0.8937910800000001
Q53034,Gassman,Dino Risi,125.0,0.11111111111111116,,,,0.7550654,41.955392170370374
Q431345,Gasparri,Maurizio Gasparri,0.64,1.0,,,,0.9437129,0.8612376333333334
Q171834,Moro,Aldo Moro,0.615384615384615,1.0,,,,0.92200595,0.845796855128205
Q43423,Esopo,Esopo,1.0,1.0,,,,1.0,1.0
Q134183,Johnson,Magic Johnson,0.7,0.8888888888888888,Johnson,male,,0.93906415,0.8426510129629629
Q19394935,Bagnai,Alberto Bagnai,0.6,1.0,,,,0.9365133,0.8455044333333334
Q428937,Mieli,Paolo Mieli,625.0,1.0,,,,0.92858636,208.97619545333336
Q258115,Simeone,Diego Simeone,0.7,1.0,Simeone,male,,0.94667983,0.88222661
Q16537147,Carlo #Sibilia:,Carlo Sibilia,0.928571428571429,1.0,,,,0.90776634,0.945445922857143
Q316315,Provenzano,Bernardo Provenzano,0.689655172413793,1.0,,,,0.94109905,0.8769180741379311
Q143533,Matteo Bassetti,Gualtiero Bassetti,0.787878787878788,0.7777777777777778,,,,0.94435495,0.8366705052188553
Q3703534,Zan,Davide De Zan,375.0,0.6666666666666667,,,,0.8753775,125.51401472222223
Q1725191,pippo franco,Pippo Franco,0.833333333333333,1.0,,,,1.0000001,0.9444444777777777
Q383215,Letta,Letta Mbulu,625.0,0.11111111111111116,,,,0.8560549,208.6557220037037
Q55282011,Diciotti,Ubaldo Diciotti,0.695652173913043,0.8888888888888888,,,,0.94655144,0.8436975009339772
Q3851282,Giletti,Massimo Giletti,0.636363636363636,1.0,,,,0.9461043,0.8608226454545452
Q17274709,Ibra,Mike Maignan,125.0,0.6666666666666667,,,,0.7869364,42.151201022222224
Q794544,Alberto Crespi,Alberto Crespo,0.928571428571429,0.8888888888888888,,,,0.95552236,0.9243275591534393
Q55454,Gregoretti,Ugo Gregoretti,0.833333333333333,1.0,,,,0.957852,0.930395111111111
Q9049,Noam Chomsky,Noam Chomsky,1.0,1.0,,,,1.0000001,1.0000000333333334
Q75820,Nico Benz,Nico Rosberg,0.571428571428571,1.0,,,,0.95420396,0.8418775104761903
Q3749638,Boccia,Francesco Boccia,0.545454545454545,1.0,,,,0.9253859,0.8236134818181817
Q50002,bonino:,Emma Bonino,0.555555555555556,1.0,,,,0.8961783,0.8172446185185187
Q388442,Franceschini,Dario Franceschini,0.8,1.0,,,,0.94947517,0.9164917233333334
Q3094215,Gad Lerner,Gad Lerner,1.0,1.0,,,,1.0,1.0
Q120342,Michelle Hunziker,Michelle Hunziker,1.0,1.0,,,,1.0000002,1.0000000666666666
Q61014728,Zangrillo,Paolo Zangrillo,0.75,1.0,,,,0.89389557,0.8812985233333333
Q3838212,Morisi,Luca Morisi,0.705882352941176,1.0,,,,0.93624496,0.8807091043137253
Q3852622,Landini,Maurizio Landini,0.608695652173913,1.0,,,,0.9624325,0.8570427173913044
Q29996191,Cin,Fabio Dal Cin,375.0,0.4444444444444444,,,,0.90841234,125.45095226148148
Q1891483,Donatella #Accardo,Manuel De Sica,375.0,0.11111111111111116,,,,0.8044419,125.30518433703702
Q722485,Liberati,Libero Liberati,0.695652173913043,1.0,,,,0.90492713,0.8668597679710143
Q3430832,sara Tommasi,Sara Tommasi,0.916666666666667,1.0,,,,1.0000001,0.9722222555555557
Q263442,Rita #Pavone,Rita Pavone,0.956521739130435,1.0,,,,0.92923814,0.9619199597101451
Q61831,Glielo,Jerry Calà,125.0,0.6666666666666667,,,,0.82787997,42.16484887888889
Q562097,Maroni,Roberto Maroni,0.6,1.0,,,,0.94554424,0.8485147466666666
Q15896991,Centinaio,Gian Marco Centinaio,0.620689655172414,1.0,,,,0.81324875,0.8113128017241381
Q1247041,santoro,Michele Santoro,0.545454545454545,1.0,,,,0.9552305,0.8335616818181816
Q40787,Zar Nicola II,Nicola II di Russia,0.5625,1.0,,,,0.8883934,0.8169644666666667
Q294460,Mario Draghi,Mario Draghi,1.0,1.0,,,,0.99999994,0.99999998
Q664465,Roberto Formigoni,Roberto Formigoni,1.0,1.0,,,,0.99999964,0.99999988
Q1247041,Santoro,Michele Santoro,0.636363636363636,1.0,Santoro,male,,0.9552305,0.8638647121212121
Q3641985,Bombolo,Bombolo,1.0,1.0,,,,1.0000002,1.0000000666666666
Q54565819,Conte #Costa,Sergio Costa,0.583333333333333,1.0,,,,0.86735976,0.8168976977777778
Q23559,mussolini,Benito Mussolini,0.64,1.0,,,,0.945175,0.861725
Q47602,D`Alema,Massimo D'Alema,0.545454545454545,1.0,,,,0.95552784,0.833660795151515
Q18417598,Marino #Golinelli,Enzo Zacchiroli,375.0,0.2222222222222222,,,,0.7995165,125.34057957407407
Q3851252,Massimo Fini,Massimo Fini,1.0,1.0,,,,0.9999996,0.9999998666666666
Q16268745,Giulia #Sarti,Giulia Sarti,0.96,1.0,,,,0.9170288,0.9590095999999999
Q784785,Capezzone,Daniele Capezzone,0.692307692307692,1.0,,,,0.9381584,0.8768220307692306
Q621375,Preziosi,Alessandro Preziosi,0.592592592592593,1.0,,,,0.9298028,0.840798464197531
Q58885861,Ceccardi,Susanna Ceccardi,0.666666666666667,1.0,,,,0.9560622,0.8742429555555556
Q3972421,Cazzaro,Stefano Cazzaro,0.636363636363636,0.8888888888888888,,,,0.94441736,0.8232232950841749
Q363498,Gerry Scotti,Gerry Scotti,1.0,1.0,,,,1.0000002,1.0000000666666666
Q52419019,Simone Pillon,Simone Pillon,1.0,1.0,,,,0.99999976,0.99999992
Q364348,Demicheli,Tulio Demicheli,0.75,1.0,,,,0.7696974,0.8398991333333333
Q15117583,Luca Lotti,Luca Lotti,1.0,1.0,,,,0.99999964,0.99999988
Q302,Gesù Cristo,Gesù,0.533333333333333,1.0,,,,0.95657563,0.8299696544444443
Q156386,"Rousseau
#",Henri Rousseau,0.666666666666667,0.8888888888888888,,,,0.87170696,0.8090875051851852
Q16540320,Claudio Borghi,Claudio Borghi (politico),0.717948717948718,1.0,,,,0.9300528,0.8826671726495726
Q451791,giorgiameloni,Giorgia Meloni,0.814814814814815,1.0,,,,0.86039054,0.891735118271605
Q4504989,grillo #casaleggio,Gianroberto Casaleggio,0.6,1.0,,,,0.8820488,0.8273496000000001
Q13581225,Di maio,Luigi Di Maio,0.6,1.0,,,,0.942749,0.8475830000000001
Q16606298,Silvia Romano,Silvio Romano,0.923076923076923,0.5555555555555556,,,,0.9226713,0.800434592877493
