id,mention,wp_title,ratio,ranking
Q1054390,Pisu,Mario Pisu,0.5714285714285714,0
Q3929147,Pisu,Raffaele Pisu,0.47058823529411764,1
Q41476289,Pisu,Antonio Pisu,0.5,2
Q3853073,Pisu,Max Pisu,0.6666666666666666,3
Q3960707,Pisu,Silverio Pisu,0.47058823529411764,4
Q3932577,Pisu,Renata Pisu,0.5333333333333333,6
Q315258,Pisu,Giancarlo Giannini,0.09090909090909091,8
Q3697462,Malgioglio,Cristiano Malgioglio,0.6666666666666666,0
Q3627671,Malgioglio,Astutillo Malgioglio,0.6666666666666666,3
Q234771,Malgioglio,Iva Zanicchi,0.2727272727272727,4
Q669464,Malgioglio,Giuni Russo,0.19047619047619047,5
Q434423,Malgioglio,Eleonora Giorgi,0.24,6
Q368206,Aldo Busi,Aldo Busi,1.0,0
Q1130174,Aldo Busi,Dario Bellezza,0.2608695652173913,9
Q51547,Billy,Billy Wilder,0.5882352941176471,2
Q44200,Billy,Billy the Kid,0.5555555555555556,3
Q1774745,Billy,Billy Milligan,0.5263157894736842,4
Q73437,Billy,Billy Idol,0.6666666666666666,5
Q16209361,Billy,Billy Baron,0.625,6
Q231259,Billy,Billy Ray Cyrus,0.5,8
Q311382,Billy,Billy Corgan,0.5882352941176471,9
Q26923245,mikey,Mikey Madison,0.4444444444444444,0
Q3312937,mikey,Mikey Garcia,0.47058823529411764,3
Q862862,mikey,Mikey Way,0.5714285714285714,4
Q19864045,mikey,Mikey Ambrose,0.4444444444444444,5
Q705322,mikey,Mikey Graham,0.47058823529411764,6
Q1807433,mikey,Mikey Whipwreck,0.4,7
Q2468343,mikey,Mikey Welsh,0.5,9
Q25147,Battiato,Franco Battiato,0.6956521739130435,0
Q963108,Battiato,Giacomo Battiato,0.6666666666666666,3
Q286547,Battiato,Alice (cantante),0.25,4
Q2755363,Battiato,Manlio Sgalambro,0.3333333333333333,5
Q669464,Battiato,Giuni Russo,0.21052631578947367,6
Q1233241,Battiato,Giusto Pio,0.3333333333333333,8
Q529207,Ronaldo,Ronaldo,1.0,0
Q11571,Ronaldo,Cristiano Ronaldo,0.5833333333333334,1
Q24691025,Ronaldo,Ronaldo Vieira,0.6666666666666666,2
Q9960,Ronaldo,Ronald Reagan,0.6,5
Q3941032,Ronaldo,Ronaldo Vanin,0.7,6
Q2490323,Ronaldo,Ronaldo Pompeu da Silva,0.4666666666666667,8
Q58681,Timothy Snyder,Oskar Dirlewanger,0.25806451612903225,7
Q885,Timothy Snyder,Józef Piłsudski,0.13793103448275862,8
Q4219124,Timothy Snyder,Kazimierz Kelles-Krauz,0.2222222222222222,9
Q154756,Italo,Italo Calvino,0.5555555555555556,0
Q2539798,Italo,Italo Galbiati,0.5263157894736842,2
Q3155882,Italo,Italo Bocchino,0.5263157894736842,3
Q216478,Italo,Italo Svevo,0.625,5
Q1056,Italo,Italo Balbo,0.625,6
Q170576,milla,Milla Jovovich,0.42105263157894735,0
Q168540,milla,Roger Milla,0.5,1
Q3857940,milla,Milla Sannoner,0.42105263157894735,2
Q510631,milla,Luis Milla,0.5333333333333333,6
