mention,wp_title,cosine
#Giletti,Massimo Giletti,0.8977945
#Giletti,Antonella Mosetti,0.8412631
#Meloni,Giorgia Meloni,0.9237858
#Meloni,Marco Meloni (politico),0.9467108
#Meloni,Christopher Meloni,0.9208989
#Meloni,Alessandra Meloni,0.9166243
#Meloni,Guido Crosetto,0.8748325
ANCHE DELL’INSERIMENTO DI,Rania di Giordania,0.71095854
ASTRONAVE SEI,Max Pezzali,0.8023071
Abdul,Kareem Abdul-Jabbar,0.8676636
Abdul,Paula Abdul,0.9306356
Abdul,Abdul Aziz,0.92950886
Abdul,Abdul Karim,0.94661677
Abdul,Abdul Fatawu Issahaku,0.7823288
Abdul,Yahya Abdul-Mateen II,0.7973844
Acerbi,Francesco Acerbi,0.9190274
Acerbi,Sandro Acerbo,0.8896476
Acerbi,Rossella Acerbo,0.8805326
Acerbi,Giuseppe Acerbi,0.92148656
Acerbi,Giovanni Acerbi,0.91054434
Acerbi,Ludovico Acerbi,0.9040316
Acerbi,Angelo Acerbi,0.92100906
Achille,Achille Occhetto,0.92190945
Achille,Achille Lauro (cantante),0.8682091
Achille,Papa Pio XI,0.7724603
Achille,Achille Lauro,0.90713155
Achille,Achille Togliani,0.89301455
Achille,Achille Starace,0.9308011
Achille,Achille Campanile,0.93694055
Achille Lauro,Achille Lauro,1.0000001
Achille Lauro,Achille Lauro (cantante),0.91326773
Acker,Amy Acker,0.9543163
Acker,Achille Van Acker,0.91551113
Acker,Jean Acker,0.9315736
Acker,Drew Van Acker,0.9256962
Acker,Kathy Acker,0.9447299
Acker,Alex Acker,0.94899166
Acker,Shane Acker,0.9462896
Adinolfi,Mario Adinolfi,0.93087995
Adinolfi,Gabriele Adinolfi,0.9424962
Adinolfi,Ugo Adinolfi,0.94116306
Adinolfi,Isabella Adinolfi,0.9223766
Adinolfi,Domenico Adinolfi,0.9373616
Adinolfi,Francesco Adinolfi,0.9408558
Adriano,Adriano,1.0
Adriano,Luiz Adriano,0.9325419
Adriano,Adriano Celentano,0.90814745
Adriano,Papa Adriano VI,0.8533602
Adriano,Adriano Olivetti,0.92572534
Adriano,Adriano Leite Ribeiro,0.8443663
Adriano,Adriano Sofri,0.9175334
Adriano,Adriano Pappalardo,0.9309819
Agrippina,Agrippina minore,0.9727962
Agrippina,Agrippina maggiore,0.97503626
Agrippina,Vipsania Agrippina,0.9571223
Agrippina,Claudio,0.83787954
Agrippina,Nerone,0.8426302
Agrippina,Agrippina Jakovlevna Vaganova,0.9192974
Ah,Yoo Ah-in,0.86462855
Ah,Kim Hyun-ah,0.8583106
Ahahah,Molella,0.830968
Ahahahah,Tyga,0.91083324
Ahhh,Steven St. Croix,0.80570936
Ahhh,Nick Jonas,0.8400182
Ahhh,Lisa Sparxxx,0.8077863
Ahhh,Lil Durk,0.8555243
