s,o,entity
odang_person_7164960,P1038,Q22116705
odang_person_1197987,P166,Q48800562
odang_person_3657116,P106,Q82955
Q192857,label,Menteng
odang_person_8369550,P569,1950
Q6092845,label,ministro delle infrastrutture e dei trasporti della Repubblica Italiana
odang_person_4778575,P569,1979
Q3676924,label,cimitero della Villetta
odang_person_2391427,P6886,Q7737
odang_person_3584618,P106,Q1349880
odang_person_5978177,P551,Q6966305
odang_person_3585192,P21,Q6581097
odang_person_5979803,P19,Q60
odang_person_3585192,P166,Q52382875
Q837855,label,Qi
Q170972,label,Partito Socialista
odang_person_5305938,P463,Q19606517
odang_person_5987635,P19,Q42800
odang_person_6006566,P19,Q10325
odang_person_5970915,P551,Q17042
odang_person_4851979,P39,Q55044982
odang_person_5970875,P463,Q83172
odang_person_5981016,P166,Q8036239
odang_person_7176268,P937,Q60
odang_person_1198301,P937,Q239
odang_person_7165814,P27,Q38
Q4011164,label,vicepresidente del Consiglio dei ministri della Repubblica Italiana
odang_person_1197564,P3373,Q3607082
Q652,label,italiano
odang_person_8361107,P1038,Q56166653
odang_person_7165053,P551,Q96
odang_person_5970875,P40,Q325016
Q182529,label,Giocatore dell'anno FIFA
Q17231624,label,legionario della Legion of Merit
odang_person_3611552,P569,1955
odang_person_7165093,P166,Q4335906
odang_person_11269,P1412,Q652
odang_person_462941,P19,Q6244
Q12144794,label,prosatore
odang_person_4777868,P39,Q20056508
odang_person_3592187,P106,Q131524
odang_person_2392113,P106,Q10798782
odang_person_2402975,P19,Q432337
odang_person_7164960,P26,Q76433
odang_person_3585484,P39,Q796897
odang_person_2391823,P166,Q6967724
odang_person_7165093,P1412,Q1860
odang_person_84797,P166,Q10855226
odang_person_4791719,P27,Q38
Q500251,label,armatore
odang_person_1197595,P166,Q31155
Q233067,label,Salome
odang_person_8360890,P106,Q185351
odang_person_7200101,P1412,Q652
odang_person_4786679,P569,1988
odang_person_2494081,P569,1893
odang_person_2402622,P27,Q38
Q202765,label,Kate Winslet
odang_person_7691304,P106,Q82955
odang_person_1583438,P1412,Q652
odang_person_1208567,P6886,Q150
odang_person_31288,P569,1924
odang_person_8361798,P19,Q2807
odang_person_4788830,P166,Q17985761
Q932281,label,European Film Awards per il miglior attore
odang_person_5982258,P3373,Q3697482
odang_person_3688389,P106,Q36834
