s,p,o
87,refersTo,odang_person_7477053
odang_person_7477053,label_it,Julius Heinrich Gottlieb Schlegel
odang_person_7477053,P103,Q188
odang_person_7477053,P106,Q39631
odang_person_7477053,P1412,Q188
odang_person_7477053,P19,Q3150
odang_person_7477053,P20,Q1741
odang_person_7477053,P21,Q6581097
odang_person_7477053,P27,Q183
odang_person_7477053,P569,1772
odang_person_7477053,message,87
91,refersTo,odang_person_7572653
odang_person_7572653,label_it,Yvan Louis Larsen
odang_person_7572653,P106,Q483501
odang_person_7572653,P1412,Q188
odang_person_7572653,P19,Q69817
odang_person_7572653,P21,Q6581097
odang_person_7572653,P27,Q39
odang_person_7572653,P569,1924
odang_person_7572653,message,91
7,refersTo,odang_person_5278708
odang_person_5278708,label_it,Luísa Pinto
odang_person_5278708,P103,Q5146
odang_person_5278708,P106,Q1650915
odang_person_5278708,P108,Q29673
odang_person_5278708,P1412,Q5146
odang_person_5278708,P166,Q106043504
odang_person_5278708,P21,Q6581072
odang_person_5278708,P27,Q45
odang_person_5278708,P569,1981
odang_person_5278708,message,7
12,refersTo,odang_person_4813407
odang_person_4813407,label_it,Claudia Hann
odang_person_4813407,P106,Q36180
odang_person_4813407,P1412,Q188
odang_person_4813407,P19,Q2938
odang_person_4813407,P21,Q6581072
odang_person_4813407,P27,Q183
odang_person_4813407,P569,2000
odang_person_4813407,message,12
42,refersTo,odang_person_2484755
odang_person_2484755,label_it,Michel Ouellette
odang_person_2484755,P106,Q36180
odang_person_2484755,P1412,Q150
odang_person_2484755,P166,Q3405963
odang_person_2484755,P19,Q3116824
odang_person_2484755,P21,Q6581097
odang_person_2484755,message,42
22,refersTo,odang_person_8675854
odang_person_8675854,label_it,Hugh Hastings
odang_person_8675854,P106,Q36180
odang_person_8675854,P1412,Q1860
odang_person_8675854,P19,Q3130
odang_person_8675854,P21,Q6581097
odang_person_8675854,P27,Q408
odang_person_8675854,P569,1917
odang_person_8675854,message,22
154,refersTo,odang_person_2640143
odang_person_2640143,label_it,Christian Schei
odang_person_2640143,P106,Q855091
odang_person_2640143,P21,Q6581097
odang_person_2640143,P27,Q20
odang_person_2640143,P569,1978
odang_person_2640143,message,154
143,refersTo,odang_person_1267880
odang_person_1267880,label_it,Luc Krotwaar
odang_person_1267880,P106,Q11513337
odang_person_1267880,P19,Q192508
odang_person_1267880,P21,Q6581097
odang_person_1267880,P27,Q29999
odang_person_1267880,P569,1968
odang_person_1267880,message,143
95,refersTo,odang_person_4966879
odang_person_4966879,label_it,Paul de Montgolfier
odang_person_4966879,P106,Q47064
odang_person_4966879,P1412,Q150
odang_person_4966879,P21,Q6581097
odang_person_4966879,P27,Q142
odang_person_4966879,P569,1913
odang_person_4966879,message,95
181,refersTo,odang_person_2450501
odang_person_2450501,label_it,Jun Aoyama
odang_person_2450501,P106,Q937857
odang_person_2450501,P19,Q46747
odang_person_2450501,P21,Q6581097
odang_person_2450501,P27,Q17
odang_person_2450501,P569,1988
odang_person_2450501,message,181
28,refersTo,odang_person_1648905
odang_person_1648905,label_it,Jevani Brown
odang_person_1648905,P106,Q937857
odang_person_1648905,P1412,Q1860
odang_person_1648905,P19,Q19801
odang_person_1648905,P21,Q6581097
odang_person_1648905,P27,Q145
odang_person_1648905,P569,1994
odang_person_1648905,message,28
200,refersTo,odang_person_5313608
odang_person_5313608,label_it,Jules Janet
odang_person_5313608,P106,Q39631
odang_person_5313608,P1412,Q150
odang_person_5313608,P19,Q249852
odang_person_5313608,P21,Q6581097
odang_person_5313608,P22,Q72286968
odang_person_5313608,P27,Q142
odang_person_5313608,P3373,Q328758
odang_person_5313608,P569,1861
odang_person_5313608,message,200
108,refersTo,odang_person_2481732
odang_person_2481732,label_it,Julien Rantier
odang_person_2481732,P106,Q937857
odang_person_2481732,P1412,Q150
odang_person_2481732,P19,Q193183
odang_person_2481732,P21,Q6581097
odang_person_2481732,P27,Q142
odang_person_2481732,P569,1983
odang_person_2481732,message,108
124,refersTo,odang_person_3000543
odang_person_3000543,label_it,Ronald H. Perrott
odang_person_3000543,P106,Q82594
odang_person_3000543,P1412,Q1860
odang_person_3000543,P166,Q57629136
odang_person_3000543,P21,Q6581097
odang_person_3000543,P463,Q110378126
odang_person_3000543,P569,1942
odang_person_3000543,P6886,Q1860
odang_person_3000543,message,124
22,refersTo,odang_person_1867532
odang_person_1867532,label_it,Francesca Amato
odang_person_1867532,P106,Q11338576
odang_person_1867532,P1412,Q652
odang_person_1867532,P19,Q2634
odang_person_1867532,P21,Q6581072
odang_person_1867532,P27,Q38
odang_person_1867532,P569,1989
odang_person_1867532,message,22
48,refersTo,odang_person_6020938
odang_person_6020938,label_it,Gottfried Anton Schenck
odang_person_6020938,P106,Q36180
odang_person_6020938,P1412,Q188
odang_person_6020938,P19,Q1721
odang_person_6020938,P20,Q1721
odang_person_6020938,P21,Q6581097
odang_person_6020938,P27,Q183
odang_person_6020938,P569,1699
odang_person_6020938,P937,Q314187
odang_person_6020938,message,48
6,refersTo,odang_person_8511055
odang_person_8511055,label_it,Raymond Björling
odang_person_8511055,P106,Q33999
odang_person_8511055,P21,Q6581097
odang_person_8511055,P22,Q5578123
odang_person_8511055,P27,Q34
odang_person_8511055,P569,1956
odang_person_8511055,message,6
169,refersTo,odang_person_5843375
odang_person_5843375,label_it,Alison Easson
odang_person_5843375,P1412,Q1860
odang_person_5843375,message,169
35,refersTo,odang_person_1279213
odang_person_1279213,label_it,Carlos Vega
odang_person_1279213,P106,Q386854
odang_person_1279213,P19,Q241
odang_person_1279213,P20,Q65
odang_person_1279213,P21,Q6581097
odang_person_1279213,P27,Q30
odang_person_1279213,P569,1956
odang_person_1279213,message,35
163,refersTo,odang_person_8644416
odang_person_8644416,label_it,Frank Proschan
odang_person_8644416,P106,Q170790
odang_person_8644416,P108,Q861548
odang_person_8644416,P166,Q61744587
odang_person_8644416,P184,Q1360655
odang_person_8644416,P19,Q60
odang_person_8644416,P21,Q6581097
odang_person_8644416,P27,Q30
odang_person_8644416,P463,Q467040
odang_person_8644416,P569,1921
odang_person_8644416,message,163
85,refersTo,odang_person_4917821
odang_person_4917821,label_it,Diane Gromala
odang_person_4917821,P106,Q82594
odang_person_4917821,P108,Q201603
odang_person_4917821,P21,Q6581072
odang_person_4917821,P27,Q16
odang_person_4917821,P569,1960
odang_person_4917821,message,85
196,refersTo,odang_person_1235400
odang_person_1235400,label_it,Satomi Ishihara
odang_person_1235400,P106,Q10800557
odang_person_1235400,P166,Q20649879
odang_person_1235400,P19,Q7473516
odang_person_1235400,P21,Q6581072
odang_person_1235400,P27,Q17
odang_person_1235400,P551,Q1490
odang_person_1235400,P569,1986
odang_person_1235400,message,196
172,refersTo,odang_person_3570208
odang_person_3570208,label_it,Eduard Jorg
odang_person_3570208,P569,1808
odang_person_3570208,message,172
190,refersTo,odang_person_4161467
odang_person_4161467,label_it,Amal Couvreur
odang_person_4161467,P106,Q82955
odang_person_4161467,P1412,Q150
odang_person_4161467,P19,Q7903
odang_person_4161467,P21,Q6581097
odang_person_4161467,P27,Q142
odang_person_4161467,P39,Q63758875
odang_person_4161467,P569,1966
odang_person_4161467,message,190
106,refersTo,odang_person_5122609
odang_person_5122609,label_it,Hans Albrecht Lusznat
odang_person_5122609,P106,Q222344
odang_person_5122609,P1412,Q188
odang_person_5122609,P19,Q3150
odang_person_5122609,P21,Q6581097
odang_person_5122609,P27,Q183
odang_person_5122609,P569,1955
odang_person_5122609,message,106
92,refersTo,odang_person_5317284
odang_person_5317284,label_it,Jakob Loosjes
odang_person_5317284,P106,Q432386
odang_person_5317284,P108,Q214341
odang_person_5317284,P19,Q727
odang_person_5317284,P20,Q9909
odang_person_5317284,P21,Q6581097
odang_person_5317284,P27,Q29999
odang_person_5317284,P569,1874
odang_person_5317284,message,92
191,refersTo,odang_person_3654281
odang_person_3654281,label_it,Francisco Femenía
odang_person_3654281,P106,Q937857
odang_person_3654281,P1412,Q1321
odang_person_3654281,P19,Q1983216
odang_person_3654281,P21,Q6581097
odang_person_3654281,P27,Q29
odang_person_3654281,P569,1991
odang_person_3654281,message,191
152,refersTo,odang_person_6101524
odang_person_6101524,label_it,Dr. Bill Miller
odang_person_6101524,P103,Q1860
odang_person_6101524,P106,Q13474373
odang_person_6101524,P1412,Q1860
odang_person_6101524,P166,Q373374
odang_person_6101524,P19,Q934308
odang_person_6101524,P20,Q16567
odang_person_6101524,P21,Q6581097
odang_person_6101524,P27,Q30
odang_person_6101524,P569,1927
odang_person_6101524,P6886,Q1860
odang_person_6101524,message,152
114,refersTo,odang_person_7486399
odang_person_7486399,label_it,Piero Messina (regista)
odang_person_7486399,P106,Q28389
odang_person_7486399,P1412,Q652
odang_person_7486399,P19,Q478258
odang_person_7486399,P21,Q6581097
odang_person_7486399,P27,Q38
odang_person_7486399,P569,1981
odang_person_7486399,message,114
38,refersTo,odang_person_3698503
odang_person_3698503,label_it,Ragib Nasretdinovič Gimaev
odang_person_3698503,P106,Q82955
odang_person_3698503,P1412,Q7737
odang_person_3698503,P166,Q583881
odang_person_3698503,P19,Q3509954
odang_person_3698503,P20,Q911
odang_person_3698503,P21,Q6581097
odang_person_3698503,P27,Q15180
odang_person_3698503,P39,Q17276321
odang_person_3698503,P463,Q4146579
odang_person_3698503,P569,1935
odang_person_3698503,P937,Q649
odang_person_3698503,message,38
13,refersTo,odang_person_3718759
odang_person_3718759,label_it,Camilla Wedgwood
odang_person_3718759,P106,Q4773904
odang_person_3718759,P108,Q174570
odang_person_3718759,P1412,Q1860
odang_person_3718759,P19,Q1425428
odang_person_3718759,P20,Q7374599
odang_person_3718759,P21,Q6581072
odang_person_3718759,P22,Q2912529
odang_person_3718759,P25,Q75453653
odang_person_3718759,P27,Q145
odang_person_3718759,P3373,Q5482723
odang_person_3718759,P569,1901
odang_person_3718759,message,13
143,refersTo,odang_person_8445928
odang_person_8445928,label_it,France Renard
odang_person_8445928,P103,Q150
odang_person_8445928,P106,Q33999
odang_person_8445928,P1412,Q150
odang_person_8445928,P21,Q6581072
odang_person_8445928,P27,Q142
odang_person_8445928,P569,2000
odang_person_8445928,message,143
118,refersTo,odang_person_8016175
odang_person_8016175,label_it,Margery Whetehill
odang_person_8016175,P21,Q6581072
odang_person_8016175,P22,Q75443653
odang_person_8016175,P25,Q96213075
odang_person_8016175,P40,Q90178033
odang_person_8016175,message,118
124,refersTo,odang_person_23987
odang_person_23987,label_it,Dave Twardzik
odang_person_23987,P103,Q1860
odang_person_23987,P106,Q3665646
odang_person_23987,P19,Q868666
odang_person_23987,P21,Q6581097
odang_person_23987,P27,Q30
odang_person_23987,P569,1950
odang_person_23987,message,124
135,refersTo,odang_person_2843726
odang_person_2843726,label_it,Lambert Isebaert
odang_person_2843726,P103,Q150
odang_person_2843726,P1412,Q150
odang_person_2843726,P21,Q6581097
odang_person_2843726,P27,Q31
odang_person_2843726,P569,1955
odang_person_2843726,message,135
127,refersTo,odang_person_6768979
odang_person_6768979,label_it,Buzz Bense
odang_person_6768979,P106,Q483501
odang_person_6768979,message,127
155,refersTo,odang_person_2441367
odang_person_2441367,label_it,Gracie Dzienny
odang_person_2441367,P103,Q1860
odang_person_2441367,P106,Q33999
odang_person_2441367,P1412,Q1860
odang_person_2441367,P19,Q49239
odang_person_2441367,P21,Q6581072
odang_person_2441367,P27,Q30
odang_person_2441367,P569,1995
odang_person_2441367,P6886,Q1860
odang_person_2441367,message,155
8,refersTo,odang_person_2458408
odang_person_2458408,label_it,Ricky Yu Qi
odang_person_2458408,P106,Q13141064
odang_person_2458408,P21,Q6581097
odang_person_2458408,P27,Q408
odang_person_2458408,P569,1969
odang_person_2458408,message,8
48,refersTo,odang_person_430867
odang_person_430867,label_it,Elias Tzavalis
odang_person_430867,P106,Q188094
odang_person_430867,P21,Q6581097
odang_person_430867,message,48
170,refersTo,odang_person_1016636
odang_person_1016636,label_it,Helmut Rosenbauer
odang_person_1016636,P19,Q2090
odang_person_1016636,P21,Q6581097
odang_person_1016636,P569,1936
odang_person_1016636,message,170
10,refersTo,odang_person_2412543
odang_person_2412543,label_it,Anke Plättner
odang_person_2412543,P103,Q188
odang_person_2412543,P106,Q947873
odang_person_2412543,P108,Q49653
odang_person_2412543,P1412,Q188
odang_person_2412543,P19,Q1387208
odang_person_2412543,P21,Q6581072
odang_person_2412543,P27,Q183
odang_person_2412543,P569,1963
odang_person_2412543,message,10
167,refersTo,odang_person_7556795
odang_person_7556795,label_it,Oswald Francis Mingay
odang_person_7556795,P106,Q212238
odang_person_7556795,P1412,Q1860
odang_person_7556795,P19,Q7157823
odang_person_7556795,P20,Q7593405
odang_person_7556795,P21,Q6581097
odang_person_7556795,P27,Q408
odang_person_7556795,P569,1895
odang_person_7556795,message,167
89,refersTo,odang_person_6024937
odang_person_6024937,label_it,Ugo di Mâcon
odang_person_6024937,P106,Q482980
odang_person_6024937,P1412,Q150
odang_person_6024937,P21,Q6581097
odang_person_6024937,P27,Q142
odang_person_6024937,P39,Q611644
odang_person_6024937,P569,1082
odang_person_6024937,P611,Q166861
odang_person_6024937,P6886,Q397
odang_person_6024937,message,89
23,refersTo,odang_person_6053438
odang_person_6053438,label_it,Adriaen Cornelisz van der Salm
odang_person_6053438,P106,Q1028181
odang_person_6053438,P1412,Q7411
odang_person_6053438,P19,Q1184149
odang_person_6053438,P20,Q1184149
odang_person_6053438,P21,Q6581097
odang_person_6053438,P27,Q55
odang_person_6053438,P569,1660
odang_person_6053438,P937,Q1184149
odang_person_6053438,message,23
126,refersTo,odang_person_6001928
odang_person_6001928,label_it,Wacław Potocki
odang_person_6001928,P106,Q49757
odang_person_6001928,P1412,Q809
odang_person_6001928,P172,Q1026
odang_person_6001928,P19,Q8029691
odang_person_6001928,P20,Q2231116
odang_person_6001928,P21,Q6581097
odang_person_6001928,P27,Q172107
odang_person_6001928,P39,Q16533
odang_person_6001928,P40,Q102536436
odang_person_6001928,P53,Q63532456
odang_person_6001928,P569,1621
odang_person_6001928,message,126
171,refersTo,odang_person_1563079
odang_person_1563079,label_it,Elenora Tzolakovna Gabrieljan
odang_person_1563079,P106,Q2374149
odang_person_1563079,P1412,Q8785
odang_person_1563079,P172,Q79797
odang_person_1563079,P19,Q1953
odang_person_1563079,P21,Q6581072
odang_person_1563079,P26,Q22665467
odang_person_1563079,P27,Q399
odang_person_1563079,P569,1929
odang_person_1563079,message,171
107,refersTo,odang_person_1654436
odang_person_1654436,label_it,Jean-Baptiste Lefebvre
odang_person_1654436,P106,Q82955
odang_person_1654436,P21,Q6581097
odang_person_1654436,P27,Q31
odang_person_1654436,message,107
111,refersTo,odang_person_7263388
odang_person_7263388,label_it,Robert Hazard
odang_person_7263388,P106,Q753110
odang_person_7263388,P1412,Q1860
odang_person_7263388,P19,Q1345
odang_person_7263388,P20,Q126412
odang_person_7263388,P21,Q6581097
odang_person_7263388,P27,Q30
odang_person_7263388,P569,1948
odang_person_7263388,message,111
161,refersTo,odang_person_332232
odang_person_332232,label_it,Noël-Germinal Poudra
odang_person_332232,P103,Q150
odang_person_332232,P106,Q99339352
odang_person_332232,P1412,Q150
odang_person_332232,P21,Q6581097
odang_person_332232,P27,Q142
odang_person_332232,P569,1794
odang_person_332232,message,161
7,refersTo,odang_person_80500
odang_person_80500,label_it,Antonio Hernández Mancha
odang_person_80500,P102,Q2838243
odang_person_80500,P106,Q82955
odang_person_80500,P108,Q734010
odang_person_80500,P1412,Q1321
odang_person_80500,P19,Q1098716
odang_person_80500,P21,Q6581097
odang_person_80500,P27,Q29
odang_person_80500,P39,Q20177806
odang_person_80500,P463,Q2997821
odang_person_80500,P569,1951
odang_person_80500,P937,Q2807
odang_person_80500,message,7
116,refersTo,odang_person_5067647
odang_person_5067647,label_it,Cristoforo Arduino Terzi
odang_person_5067647,P106,Q250867
odang_person_5067647,P19,Q224297
odang_person_5067647,P20,Q13396
odang_person_5067647,P21,Q6581097
odang_person_5067647,P27,Q172579
odang_person_5067647,P39,Q611644
odang_person_5067647,P569,1884
odang_person_5067647,P611,Q165005
odang_person_5067647,message,116
165,refersTo,odang_person_8554821
odang_person_8554821,label_it,Robert Dighton
odang_person_8554821,P106,Q3658608
odang_person_8554821,P19,Q84
odang_person_8554821,P20,Q84
odang_person_8554821,P21,Q6581097
odang_person_8554821,P40,Q7325203
odang_person_8554821,P569,1752
odang_person_8554821,P937,Q84
odang_person_8554821,message,165
11,refersTo,odang_person_7139225
odang_person_7139225,label_it,Samuel Torrey
odang_person_7139225,P21,Q6581097
odang_person_7139225,P26,Q109349840
odang_person_7139225,P40,Q109349827
odang_person_7139225,message,11
74,refersTo,odang_person_4873653
odang_person_4873653,label_it,Pierre Marie Burnez
odang_person_4873653,P106,Q189290
odang_person_4873653,P1412,Q150
odang_person_4873653,P166,Q10855216
odang_person_4873653,P19,Q174247
odang_person_4873653,P20,Q191460
odang_person_4873653,P21,Q6581097
odang_person_4873653,P27,Q142
odang_person_4873653,P569,1845
odang_person_4873653,message,74
157,refersTo,odang_person_8803177
odang_person_8803177,label_it,Maurice Blanc
odang_person_8803177,P106,Q82955
odang_person_8803177,P1412,Q150
odang_person_8803177,P166,Q10855271
odang_person_8803177,P19,Q828265
odang_person_8803177,P21,Q6581097
odang_person_8803177,P27,Q142
odang_person_8803177,P39,Q1339249
odang_person_8803177,P569,1804
odang_person_8803177,message,157
194,refersTo,odang_person_3597755
odang_person_3597755,label_it,George Sluizer
odang_person_3597755,P103,Q7411
odang_person_3597755,P106,Q2526255
odang_person_3597755,P1412,Q7411
odang_person_3597755,P166,Q1425612
odang_person_3597755,P19,Q90
odang_person_3597755,P20,Q727
odang_person_3597755,P21,Q6581097
odang_person_3597755,P22,Q20644782
odang_person_3597755,P27,Q29999
odang_person_3597755,P569,1932
odang_person_3597755,message,194
163,refersTo,odang_person_4845072
odang_person_4845072,label_it,Marcel Zeelenberg
odang_person_4845072,P106,Q212980
odang_person_4845072,P108,Q595668
odang_person_4845072,P21,Q6581097
odang_person_4845072,P27,Q29999
odang_person_4845072,P569,1968
odang_person_4845072,message,163
150,refersTo,odang_person_7550638
odang_person_7550638,label_it,Valentino Pollam
odang_person_7550638,P106,Q49757
odang_person_7550638,P21,Q6581097
odang_person_7550638,P27,Q40
odang_person_7550638,P569,1801
odang_person_7550638,message,150
16,refersTo,odang_person_8574515
odang_person_8574515,label_it,Georges Laederach
odang_person_8574515,P106,Q3665646
odang_person_8574515,P21,Q6581097
odang_person_8574515,P27,Q39
odang_person_8574515,P569,1906
odang_person_8574515,message,16
196,refersTo,odang_person_1247005
odang_person_1247005,label_it,Judith Kauffmann
odang_person_1247005,P106,Q947873
odang_person_1247005,P1412,Q188
odang_person_1247005,P19,Q4149
odang_person_1247005,P21,Q6581072
odang_person_1247005,P27,Q183
odang_person_1247005,P569,1949
odang_person_1247005,message,196
31,refersTo,odang_person_3668602
odang_person_3668602,label_it,Coucho
odang_person_3668602,P106,Q715301
odang_person_3668602,P108,Q683203
odang_person_3668602,P1412,Q150
odang_person_3668602,P21,Q6581097
odang_person_3668602,P27,Q142
odang_person_3668602,P569,1947
odang_person_3668602,message,31
145,refersTo,odang_person_8540899
odang_person_8540899,label_it,Madeleine St John
odang_person_8540899,P106,Q36180
odang_person_8540899,P1412,Q1860
odang_person_8540899,P19,Q5050484
odang_person_8540899,P20,Q84
odang_person_8540899,P21,Q6581072
odang_person_8540899,P22,Q5345396
odang_person_8540899,P25,Q76156919
odang_person_8540899,P26,Q76156923
odang_person_8540899,P27,Q408
odang_person_8540899,P569,1941
odang_person_8540899,message,145
38,refersTo,odang_person_6649242
odang_person_6649242,label_it,Konrad Neudeck
odang_person_6649242,P569,1884
odang_person_6649242,message,38
73,refersTo,odang_person_6337775
odang_person_6337775,label_it,Abraham Bruinings van Worrell
odang_person_6337775,P106,Q1028181
odang_person_6337775,P19,Q52101
odang_person_6337775,P20,Q84
odang_person_6337775,P21,Q6581097
odang_person_6337775,P27,Q29999
odang_person_6337775,P40,Q76013472
odang_person_6337775,P569,1787
odang_person_6337775,P937,Q52101
odang_person_6337775,message,73
55,refersTo,odang_person_2423139
odang_person_2423139,label_it,Robert Zoellner
odang_person_2423139,P106,Q3243461
odang_person_2423139,P19,Q1086276
odang_person_2423139,P21,Q6581097
odang_person_2423139,P27,Q30
odang_person_2423139,P569,1932
odang_person_2423139,message,55
181,refersTo,odang_person_8320699
odang_person_8320699,label_it,Itte Triger
odang_person_8320699,P1412,Q188
odang_person_8320699,P20,Q152658
odang_person_8320699,P21,Q6581072
odang_person_8320699,P27,Q533534
odang_person_8320699,P40,Q95203728
odang_person_8320699,P569,1880
odang_person_8320699,message,181
159,refersTo,odang_person_1402227
odang_person_1402227,label_it,Victor Abiamiri
odang_person_1402227,P106,Q19204627
odang_person_1402227,P19,Q5092
odang_person_1402227,P21,Q6581097
odang_person_1402227,P27,Q30
odang_person_1402227,P569,1986
odang_person_1402227,message,159
40,refersTo,odang_person_4951111
odang_person_4951111,label_it,Jur Hronec
odang_person_4951111,P106,Q170790
odang_person_4951111,P108,Q31392
odang_person_4951111,P19,Q249777
odang_person_4951111,P20,Q1780
odang_person_4951111,P21,Q6581097
odang_person_4951111,P569,1881
odang_person_4951111,message,40
4,refersTo,odang_person_6112457
odang_person_6112457,label_it,Domenico Olivieri
odang_person_6112457,P106,Q1028181
odang_person_6112457,P21,Q6581097
odang_person_6112457,P569,1679
odang_person_6112457,message,4
166,refersTo,odang_person_358846
odang_person_358846,label_it,Silvio Necchi
odang_person_358846,P106,Q476246
odang_person_358846,P1412,Q652
odang_person_358846,P21,Q6581097
odang_person_358846,P27,Q38
odang_person_358846,P569,1954
odang_person_358846,message,166
104,refersTo,odang_person_1842439
odang_person_1842439,label_it,Gianni Risari
odang_person_1842439,P102,Q1259087
odang_person_1842439,P103,Q652
odang_person_1842439,P106,Q82955
odang_person_1842439,P1412,Q652
odang_person_1842439,P19,Q42793
odang_person_1842439,P21,Q6581097
odang_person_1842439,P27,Q38
odang_person_1842439,P39,Q65494724
odang_person_1842439,P569,1951
odang_person_1842439,message,104
55,refersTo,odang_person_1473650
odang_person_1473650,label_it,Auguste-Alphonse Amussat
odang_person_1473650,P106,Q774306
odang_person_1473650,P119,Q311
odang_person_1473650,P1412,Q150
odang_person_1473650,P21,Q6581097
odang_person_1473650,P22,Q1387306
odang_person_1473650,P27,Q142
odang_person_1473650,P569,1820
odang_person_1473650,message,55
47,refersTo,odang_person_2451958
odang_person_2451958,label_it,Lorenz Luidl
odang_person_2451958,P106,Q1281618
odang_person_2451958,P19,Q275579
odang_person_2451958,P20,Q494299
odang_person_2451958,P21,Q6581097
odang_person_2451958,P569,1645
odang_person_2451958,message,47
186,refersTo,odang_person_7191292
odang_person_7191292,label_it,Elliot Lee Richardson
odang_person_7191292,P102,Q29468
odang_person_7191292,P106,Q185351
odang_person_7191292,P119,Q216344
odang_person_7191292,P1412,Q1860
odang_person_7191292,P166,Q145752
odang_person_7191292,P19,Q100
odang_person_7191292,P20,Q100
odang_person_7191292,P21,Q6581097
odang_person_7191292,P22,Q96339854
odang_person_7191292,P25,Q86811552
odang_person_7191292,P27,Q30
odang_person_7191292,P39,Q636207
odang_person_7191292,P40,Q16499826
odang_person_7191292,P463,Q463303
odang_person_7191292,P569,1920
odang_person_7191292,message,186
38,refersTo,odang_person_5282453
odang_person_5282453,label_it,Luca Migliaccio
odang_person_5282453,P106,Q21121588
odang_person_5282453,P1412,Q652
odang_person_5282453,P21,Q6581097
odang_person_5282453,P27,Q38
odang_person_5282453,P569,1950
odang_person_5282453,message,38
21,refersTo,odang_person_6865453
odang_person_6865453,label_it,Laura Anderko
odang_person_6865453,P106,Q1650915
odang_person_6865453,P108,Q333886
odang_person_6865453,message,21
65,refersTo,odang_person_1232276
odang_person_1232276,label_it,Charlotte Engmann
odang_person_1232276,P106,Q36180
odang_person_1232276,P1412,Q188
odang_person_1232276,P19,Q2948
odang_person_1232276,P21,Q6581072
odang_person_1232276,P27,Q183
odang_person_1232276,P569,1971
odang_person_1232276,message,65
74,refersTo,odang_person_1580069
odang_person_1580069,label_it,Lorenz Sauer
odang_person_1580069,P106,Q2066131
odang_person_1580069,P21,Q6581097
odang_person_1580069,P27,Q39
odang_person_1580069,P569,1966
odang_person_1580069,message,74
12,refersTo,odang_person_585749
odang_person_585749,label_it,Georges Scidenbinda
odang_person_585749,P569,1823
odang_person_585749,message,12
182,refersTo,odang_person_3974152
odang_person_3974152,label_it,Billy Hole
odang_person_3974152,P106,Q937857
odang_person_3974152,P1412,Q1860
odang_person_3974152,P19,Q25
odang_person_3974152,P21,Q6581097
odang_person_3974152,P27,Q145
odang_person_3974152,P569,1897
odang_person_3974152,message,182
76,refersTo,odang_person_8931823
odang_person_8931823,label_it,Angela Caruso
odang_person_8931823,P106,Q1650915
odang_person_8931823,P21,Q6581072
odang_person_8931823,message,76
46,refersTo,odang_person_7514900
odang_person_7514900,label_it,Wolfgang Petke
odang_person_7514900,P106,Q201788
odang_person_7514900,P108,Q152838
odang_person_7514900,P1412,Q188
odang_person_7514900,P19,Q572559
odang_person_7514900,P21,Q6581097
odang_person_7514900,P27,Q183
odang_person_7514900,P569,1941
odang_person_7514900,message,46
185,refersTo,odang_person_906940
odang_person_906940,label_it,Ellen Santilli Vaughn
odang_person_906940,P21,Q6581072
odang_person_906940,P569,1956
odang_person_906940,message,185
175,refersTo,odang_person_7176435
odang_person_7176435,label_it,Laz Alonso
odang_person_7176435,P103,Q1860
odang_person_7176435,P106,Q33999
odang_person_7176435,P1412,Q1860
odang_person_7176435,P19,Q61
odang_person_7176435,P21,Q6581097
odang_person_7176435,P27,Q30
odang_person_7176435,P551,Q65
odang_person_7176435,P569,1974
odang_person_7176435,P6886,Q1860
odang_person_7176435,message,175
69,refersTo,odang_person_6056928
odang_person_6056928,label_it,Françoise Bardon
odang_person_6056928,P106,Q1792450
odang_person_6056928,P108,Q661056
odang_person_6056928,P1412,Q150
odang_person_6056928,P19,Q201352
odang_person_6056928,P20,Q191066
odang_person_6056928,P21,Q6581072
odang_person_6056928,P27,Q142
odang_person_6056928,P569,1925
odang_person_6056928,message,69
142,refersTo,odang_person_6996113
odang_person_6996113,label_it,Tony Fischer
odang_person_6996113,P106,Q639669
odang_person_6996113,message,142
201,refersTo,odang_person_3886946
odang_person_3886946,label_it,Norberto Torres
odang_person_3886946,P106,Q36180
odang_person_3886946,P1412,Q150
odang_person_3886946,P19,Q828676
odang_person_3886946,P21,Q6581097
